Rank | Key Guess (hex) | Score(RSS_over_POI)
---- | --------------- | -------------------
  1 | 0x29           | 3.84342937e-01
  2 | 0xad           | 3.64716534e-01
  3 | 0x51           | 3.27302694e-01
  4 | 0x6a           | 3.20583442e-01
  5 | 0x26           | 3.04904550e-01
  6 | 0xfb           | 2.95464072e-01
  7 | 0x50           | 2.76830927e-01
  8 | 0xea           | 2.73776200e-01
  9 | 0x98           | 2.71910984e-01
 10 | 0xd0           | 2.67742196e-01
 11 | 0xab           | 2.66315506e-01
 12 | 0x68           | 2.64435393e-01
 13 | 0xe3           | 2.62837673e-01
 14 | 0x57           | 2.55303131e-01
 15 | 0x4f           | 2.54998247e-01
 16 | 0x67           | 2.50766692e-01
 17 | 0xee           | 2.47812559e-01
 18 | 0x07           | 2.31973999e-01
 19 | 0xce           | 2.30630511e-01
 20 | 0xf0           | 2.30049389e-01
 21 | 0x97           | 2.26978222e-01
 22 | 0xc8           | 2.26928485e-01
 23 | 0xd2           | 2.24752425e-01
 24 | 0xd5           | 2.22995374e-01
 25 | 0x27           | 2.16457334e-01
 26 | 0x11           | 2.15073749e-01
 27 | 0xb0           | 2.13012594e-01
 28 | 0xc0           | 2.11357949e-01
 29 | 0xe6           | 2.11164868e-01
 30 | 0x5d           | 2.10829879e-01
 31 | 0xbf           | 2.10250323e-01
 32 | 0x64           | 2.09402926e-01
 33 | 0xb7           | 2.09132493e-01
 34 | 0xc2           | 2.08729102e-01
 35 | 0x9a           | 2.08287516e-01
 36 | 0xac           | 2.03089899e-01
 37 | 0x6b           | 2.02730980e-01
 38 | 0x61           | 1.99625173e-01
 39 | 0xd8           | 1.95913712e-01
 40 | 0x56           | 1.94278892e-01
 41 | 0x0b           | 1.92806489e-01
 42 | 0x4d           | 1.91824682e-01
 43 | 0x94           | 1.91807153e-01
 44 | 0xc6           | 1.91542995e-01
 45 | 0x9f           | 1.91386955e-01
 46 | 0xa4           | 1.90871896e-01
 47 | 0x95           | 1.89558737e-01
 48 | 0x34           | 1.89053757e-01
 49 | 0xcd           | 1.89002805e-01
 50 | 0x6f           | 1.87878626e-01
 51 | 0xc3           | 1.87385932e-01
 52 | 0x1b           | 1.84281918e-01
 53 | 0xd4           | 1.81025941e-01
 54 | 0x40           | 1.76971753e-01
 55 | 0x8b           | 1.76246609e-01
 56 | 0x36           | 1.75989419e-01
 57 | 0xaa           | 1.74858513e-01
 58 | 0x38           | 1.72584141e-01
 59 | 0xde           | 1.71081119e-01
 60 | 0x0f           | 1.70634558e-01
 61 | 0xa7           | 1.70632939e-01
 62 | 0xe7           | 1.70085305e-01
 63 | 0xef           | 1.69115862e-01
 64 | 0x66           | 1.67901167e-01
 65 | 0x71           | 1.65866993e-01
 66 | 0x7e           | 1.65753569e-01
 67 | 0x99           | 1.65500315e-01
 68 | 0x14           | 1.64799492e-01
 69 | 0xdd           | 1.64505865e-01
 70 | 0x9e           | 1.64452836e-01
 71 | 0x02           | 1.64256593e-01
 72 | 0x3d           | 1.64027226e-01
 73 | 0x21           | 1.62735324e-01
 74 | 0x3c           | 1.62396022e-01
 75 | 0xc5           | 1.62087521e-01
 76 | 0x52           | 1.61971151e-01
 77 | 0x5b           | 1.61237991e-01
 78 | 0x39           | 1.57221278e-01
 79 | 0x5f           | 1.54924420e-01
 80 | 0x89           | 1.52237674e-01
 81 | 0x6e           | 1.51290099e-01
 82 | 0x70           | 1.51165826e-01
 83 | 0x1f           | 1.50704721e-01
 84 | 0x20           | 1.49552503e-01
 85 | 0x04           | 1.45066338e-01
 86 | 0x46           | 1.44915211e-01
 87 | 0xfe           | 1.41933970e-01
 88 | 0xff           | 1.39041187e-01
 89 | 0x2d           | 1.37766393e-01
 90 | 0x18           | 1.35542768e-01
 91 | 0xf4           | 1.34220479e-01
 92 | 0xa0           | 1.33872372e-01
 93 | 0x53           | 1.32429636e-01
 94 | 0xb8           | 1.31275560e-01
 95 | 0x62           | 1.27599299e-01
 96 | 0xdc           | 1.27501656e-01
 97 | 0x05           | 1.27468547e-01
 98 | 0x1d           | 1.27200935e-01
 99 | 0x12           | 1.26465602e-01
100 | 0xa2           | 1.26145986e-01
101 | 0x48           | 1.25044137e-01
102 | 0x7a           | 1.23994798e-01
103 | 0xf3           | 1.22517549e-01
