Rank | Key Guess (hex) | Score(RSS_over_POI)
---- | --------------- | -------------------
  1 | 0xd1           | 2.88032297e-01
  2 | 0x29           | 2.46071607e-01
  3 | 0x9b           | 2.22746314e-01
  4 | 0xa4           | 1.89989261e-01
  5 | 0x90           | 1.88502782e-01
  6 | 0x74           | 1.79512488e-01
  7 | 0x1d           | 1.75617879e-01
  8 | 0x2c           | 1.75340467e-01
  9 | 0x4c           | 1.72868951e-01
 10 | 0x5f           | 1.64917270e-01
 11 | 0xe1           | 1.64583007e-01
 12 | 0x3d           | 1.64580941e-01
 13 | 0x36           | 1.64457260e-01
 14 | 0x26           | 1.60209683e-01
 15 | 0x44           | 1.59474248e-01
 16 | 0x1b           | 1.56566664e-01
 17 | 0x34           | 1.56399557e-01
 18 | 0xfc           | 1.44787434e-01
 19 | 0xc1           | 1.41959201e-01
 20 | 0x67           | 1.41231517e-01
 21 | 0xc7           | 1.38075300e-01
 22 | 0xa9           | 1.37766946e-01
 23 | 0xae           | 1.35435571e-01
 24 | 0x85           | 1.33194439e-01
 25 | 0x6a           | 1.30883496e-01
 26 | 0x81           | 1.30343522e-01
 27 | 0x68           | 1.24842738e-01
 28 | 0xa5           | 1.24334939e-01
 29 | 0xed           | 1.20997927e-01
 30 | 0x1c           | 1.18408803e-01
 31 | 0xc3           | 1.18219221e-01
 32 | 0xcc           | 1.16895736e-01
 33 | 0x56           | 1.14755890e-01
 34 | 0xca           | 1.14232344e-01
 35 | 0x11           | 1.12734753e-01
 36 | 0x69           | 1.10819655e-01
 37 | 0xe4           | 1.10195723e-01
 38 | 0x06           | 1.09807737e-01
 39 | 0xe8           | 1.09148500e-01
 40 | 0xab           | 1.08739032e-01
 41 | 0x65           | 1.08704568e-01
 42 | 0xf0           | 1.08185685e-01
 43 | 0x0e           | 1.07550557e-01
 44 | 0x92           | 1.07472435e-01
 45 | 0x88           | 1.07268616e-01
 46 | 0x52           | 1.05744321e-01
 47 | 0xde           | 1.05221112e-01
 48 | 0xe0           | 1.05162798e-01
 49 | 0xe3           | 1.02627362e-01
 50 | 0x91           | 1.01941103e-01
 51 | 0x40           | 1.01771295e-01
 52 | 0x94           | 1.01150087e-01
 53 | 0x93           | 1.00664874e-01
 54 | 0xc0           | 9.96274872e-02
 55 | 0x57           | 9.94272619e-02
 56 | 0x9a           | 9.88808748e-02
 57 | 0xdc           | 9.88078502e-02
 58 | 0xb1           | 9.83947156e-02
 59 | 0xbd           | 9.83638737e-02
 60 | 0x00           | 9.69501073e-02
 61 | 0x8b           | 9.49329257e-02
 62 | 0x42           | 9.47354490e-02
 63 | 0x7a           | 9.44577674e-02
 64 | 0x28           | 9.40280156e-02
 65 | 0x19           | 9.32536246e-02
 66 | 0xda           | 9.29874517e-02
 67 | 0x3f           | 9.29650170e-02
 68 | 0xbc           | 9.28685502e-02
 69 | 0x84           | 9.27992442e-02
 70 | 0x13           | 9.22165466e-02
 71 | 0xcb           | 9.10526153e-02
 72 | 0x71           | 9.10230330e-02
 73 | 0xd5           | 9.03918730e-02
 74 | 0x07           | 9.03159465e-02
 75 | 0xea           | 8.93378553e-02
 76 | 0x6d           | 8.90837539e-02
 77 | 0x1a           | 8.82133614e-02
 78 | 0x83           | 8.80511294e-02
 79 | 0x3e           | 8.74826564e-02
 80 | 0xa6           | 8.72588495e-02
 81 | 0xd2           | 8.68985301e-02
 82 | 0x09           | 8.63067334e-02
 83 | 0xa1           | 8.59269782e-02
 84 | 0xc8           | 8.58089486e-02
 85 | 0x7b           | 8.51938011e-02
 86 | 0x37           | 8.51602674e-02
 87 | 0x18           | 8.46555653e-02
 88 | 0x20           | 8.41153761e-02
 89 | 0x0f           | 8.31325319e-02
 90 | 0x2a           | 8.31211377e-02
 91 | 0x46           | 8.29036360e-02
 92 | 0x27           | 8.23288194e-02
 93 | 0x9f           | 8.22263562e-02
 94 | 0xdd           | 8.20115054e-02
 95 | 0x21           | 8.13146644e-02
 96 | 0xa7           | 8.04859453e-02
 97 | 0xef           | 7.99002390e-02
 98 | 0x10           | 7.97902885e-02
 99 | 0x97           | 7.86896114e-02
100 | 0x32           | 7.86481546e-02
101 | 0x03           | 7.80940907e-02
102 | 0x78           | 7.72751029e-02
103 | 0xbe           | 7.71167472e-02
104 | 0x41           | 7.61160609e-02
105 | 0x48           | 7.45649276e-02
106 | 0x82           | 7.45412289e-02
107 | 0x25           | 7.41198501e-02
108 | 0xb8           | 7.40557412e-02
109 | 0x86           | 7.38648250e-02
110 | 0x6e           | 7.34573066e-02
111 | 0x5b           | 7.27338563e-02
112 | 0xb4           | 7.26118151e-02
113 | 0x15           | 7.22722297e-02
114 | 0xb2           | 7.14552465e-02
115 | 0x75           | 7.09011078e-02
116 | 0x55           | 7.02906739e-02
117 | 0xb3           | 7.01024029e-02
118 | 0xc6           | 7.00546518e-02
119 | 0xc9           | 6.98422359e-02
120 | 0x79           | 6.93952431e-02
121 | 0x49           | 6.92227932e-02
122 | 0x3b           | 6.91334820e-02
123 | 0x5a           | 6.79355829e-02
124 | 0x04           | 6.78359882e-02
125 | 0x39           | 6.77096787e-02
126 | 0xfd           | 6.76491494e-02
127 | 0xbf           | 6.75422191e-02
128 | 0x4a           | 6.72228619e-02
129 | 0x51           | 6.71311821e-02
130 | 0xff           | 6.70894279e-02
131 | 0x8a           | 6.66421477e-02
132 | 0x47           | 6.63822817e-02
133 | 0xc4           | 6.63207591e-02
134 | 0xe2           | 6.61365786e-02
135 | 0xf7           | 6.55503939e-02
136 | 0x8c           | 6.54774741e-02
137 | 0x0b           | 6.54051399e-02
138 | 0x16           | 6.53309102e-02
139 | 0x45           | 6.48793580e-02
140 | 0x2f           | 6.46092328e-02
141 | 0x14           | 6.41130177e-02
142 | 0xd7           | 6.38983680e-02
143 | 0x76           | 6.38260671e-02
144 | 0x96           | 6.37712775e-02
145 | 0x30           | 6.30847973e-02
146 | 0x01           | 6.30390701e-02
147 | 0xdf           | 6.28811350e-02
148 | 0xe6           | 6.23295553e-02
149 | 0xad           | 6.22065487e-02
150 | 0x0d           | 6.21119205e-02
151 | 0x1e           | 6.20903738e-02
152 | 0x87           | 6.19956708e-02
153 | 0x2e           | 6.14668050e-02
154 | 0xf5           | 6.10172302e-02
155 | 0x50           | 6.09766198e-02
156 | 0x1f           | 6.04188570e-02
157 | 0x4d           | 6.01860967e-02
158 | 0x0c           | 5.99411823e-02
159 | 0xe7           | 5.83693859e-02
160 | 0x59           | 5.81743613e-02
161 | 0x5e           | 5.79027906e-02
162 | 0xd4           | 5.75318497e-02
163 | 0xb7           | 5.73249366e-02
164 | 0x95           | 5.72311018e-02
165 | 0x72           | 5.69751358e-02
166 | 0x5d           | 5.66099868e-02
167 | 0xf8           | 5.65518999e-02
168 | 0xf6           | 5.65518775e-02
169 | 0xb5           | 5.61821511e-02
170 | 0x12           | 5.60965088e-02
171 | 0xc5           | 5.58683585e-02
172 | 0x53           | 5.54497466e-02
173 | 0xf4           | 5.53335611e-02
174 | 0x8e           | 5.53123410e-02
175 | 0x22           | 5.52724989e-02
176 | 0xec           | 5.52050194e-02
177 | 0x98           | 5.48459827e-02
178 | 0xf2           | 5.47118367e-02
179 | 0x6b           | 5.44073024e-02
180 | 0x58           | 5.43615388e-02
181 | 0xb6           | 5.42813708e-02
182 | 0xce           | 5.40807742e-02
183 | 0xe5           | 5.39393412e-02
184 | 0xcf           | 5.35773938e-02
185 | 0xd0           | 5.35537299e-02
186 | 0x17           | 5.30918964e-02
187 | 0xbb           | 5.29422037e-02
188 | 0x38           | 5.29228126e-02
189 | 0x2d           | 5.29135719e-02
190 | 0x05           | 5.26639545e-02
191 | 0xba           | 5.20622505e-02
192 | 0xdb           | 5.19783348e-02
193 | 0xcd           | 5.18324725e-02
194 | 0xf9           | 5.16792164e-02
195 | 0xaf           | 5.16294848e-02
196 | 0x99           | 5.16108595e-02
197 | 0xa8           | 5.16061760e-02
198 | 0xd3           | 5.11462202e-02
199 | 0x31           | 5.05136124e-02
200 | 0x9c           | 5.03696932e-02
201 | 0xe9           | 5.02755475e-02
202 | 0x63           | 5.01647580e-02
203 | 0x7f           | 5.00538077e-02
204 | 0xf3           | 4.99880206e-02
205 | 0x66           | 4.96534875e-02
206 | 0xd6           | 4.96154106e-02
207 | 0xac           | 4.94559797e-02
208 | 0x4b           | 4.93760949e-02
209 | 0xa3           | 4.92694244e-02
210 | 0x80           | 4.92274039e-02
211 | 0x64           | 4.89729965e-02
212 | 0x08           | 4.88959560e-02
213 | 0x73           | 4.86646498e-02
214 | 0x9d           | 4.82781577e-02
215 | 0x02           | 4.81331595e-02
216 | 0xfe           | 4.73362486e-02
217 | 0x7c           | 4.72200484e-02
218 | 0xfb           | 4.69318625e-02
219 | 0x70           | 4.64883324e-02
220 | 0x61           | 4.63320741e-02
221 | 0x60           | 4.60630852e-02
222 | 0x77           | 4.60153315e-02
223 | 0xd8           | 4.57551561e-02
224 | 0xb0           | 4.53378246e-02
225 | 0x3c           | 4.52611507e-02
226 | 0xc2           | 4.52567083e-02
227 | 0x4e           | 4.52190804e-02
228 | 0x4f           | 4.51349116e-02
229 | 0xaa           | 4.46879445e-02
230 | 0xfa           | 4.45936204e-02
231 | 0x62           | 4.41393582e-02
232 | 0x6c           | 4.39670130e-02
233 | 0xee           | 4.38124327e-02
234 | 0x2b           | 4.24440913e-02
235 | 0x23           | 4.16447390e-02
236 | 0x24           | 4.13643716e-02
237 | 0x8d           | 4.11153810e-02
238 | 0x9e           | 4.05338905e-02
239 | 0x3a           | 3.99415908e-02
240 | 0x35           | 3.97616971e-02
241 | 0x8f           | 3.93430948e-02
242 | 0xb9           | 3.88980105e-02
243 | 0xd9           | 3.75403662e-02
244 | 0xf1           | 3.75100852e-02
245 | 0x43           | 3.65844601e-02
246 | 0x33           | 3.65793648e-02
247 | 0xa0           | 3.63398507e-02
248 | 0x7d           | 3.53316263e-02
249 | 0x5c           | 3.52603640e-02
250 | 0x89           | 3.45530536e-02
251 | 0xeb           | 3.45335952e-02
252 | 0x6f           | 3.40444276e-02
253 | 0x7e           | 3.30185830e-02
254 | 0xa2           | 3.22610127e-02
255 | 0x54           | 3.07298295e-02
256 | 0x0a           | 2.85774586e-02
