Rank | Key Guess (hex) | Score(RSS_over_POI)
---- | --------------- | -------------------
  1 | 0x1e           | 4.06453744e-01
  2 | 0x9f           | 3.48172981e-01
  3 | 0x5a           | 3.20539842e-01
  4 | 0xaf           | 2.89061569e-01
  5 | 0x23           | 2.74753779e-01
  6 | 0xff           | 2.74602403e-01
  7 | 0x11           | 2.70334039e-01
  8 | 0x0a           | 2.62906440e-01
  9 | 0xad           | 2.51393201e-01
 10 | 0x3a           | 2.43599402e-01
 11 | 0xe0           | 2.32444331e-01
 12 | 0x1a           | 2.27627604e-01
 13 | 0x54           | 2.19685495e-01
 14 | 0x60           | 2.19535172e-01
 15 | 0xe8           | 2.12453985e-01
 16 | 0x90           | 2.11372813e-01
 17 | 0xf1           | 2.09865143e-01
 18 | 0xcb           | 2.08411222e-01
 19 | 0x67           | 2.06886852e-01
 20 | 0x85           | 2.05814091e-01
 21 | 0x33           | 2.04900146e-01
 22 | 0x5d           | 1.98198277e-01
 23 | 0x10           | 1.97780066e-01
 24 | 0xb9           | 1.96438096e-01
 25 | 0x30           | 1.94977309e-01
 26 | 0xb2           | 1.93598085e-01
 27 | 0xb0           | 1.93202570e-01
 28 | 0x7b           | 1.90982082e-01
 29 | 0x49           | 1.90030304e-01
 30 | 0x61           | 1.88794856e-01
 31 | 0xf2           | 1.87511707e-01
 32 | 0xfb           | 1.84414532e-01
 33 | 0x5f           | 1.81349377e-01
 34 | 0x3d           | 1.81283174e-01
 35 | 0xda           | 1.79819854e-01
 36 | 0x32           | 1.78709589e-01
 37 | 0x28           | 1.77063809e-01
 38 | 0x03           | 1.75894059e-01
 39 | 0xd0           | 1.75033648e-01
 40 | 0xe2           | 1.71628860e-01
 41 | 0x31           | 1.71243232e-01
 42 | 0x0f           | 1.70536748e-01
 43 | 0xcf           | 1.70144188e-01
 44 | 0x0c           | 1.69455836e-01
 45 | 0x2e           | 1.69346722e-01
 46 | 0x47           | 1.67899091e-01
 47 | 0x80           | 1.64752110e-01
 48 | 0x56           | 1.62856287e-01
 49 | 0x7f           | 1.61425908e-01
 50 | 0xe6           | 1.60646429e-01
 51 | 0xe4           | 1.59005198e-01
 52 | 0xce           | 1.57309056e-01
 53 | 0x8a           | 1.56613250e-01
 54 | 0x46           | 1.55945418e-01
 55 | 0xb3           | 1.55651582e-01
 56 | 0x9c           | 1.55520750e-01
 57 | 0x76           | 1.53289714e-01
 58 | 0xa3           | 1.52377024e-01
 59 | 0xa5           | 1.51524213e-01
 60 | 0x86           | 1.51130630e-01
 61 | 0x27           | 1.50767206e-01
 62 | 0x57           | 1.50741159e-01
 63 | 0x21           | 1.49402129e-01
 64 | 0x94           | 1.48177747e-01
 65 | 0x72           | 1.47046549e-01
 66 | 0x16           | 1.44359485e-01
 67 | 0x70           | 1.44191749e-01
 68 | 0x6b           | 1.43578798e-01
 69 | 0x3c           | 1.42165407e-01
 70 | 0x1f           | 1.41863562e-01
 71 | 0x08           | 1.40707386e-01
 72 | 0x2b           | 1.39252348e-01
 73 | 0xfe           | 1.38954850e-01
 74 | 0x87           | 1.37620938e-01
 75 | 0xbc           | 1.36677723e-01
 76 | 0x0d           | 1.35254190e-01
 77 | 0x40           | 1.33278401e-01
 78 | 0x71           | 1.33025440e-01
 79 | 0xd6           | 1.31398888e-01
 80 | 0x53           | 1.30862483e-01
 81 | 0x3f           | 1.29143145e-01
 82 | 0xc0           | 1.28313285e-01
 83 | 0x7e           | 1.26854131e-01
 84 | 0x15           | 1.26287531e-01
 85 | 0xc7           | 1.24296150e-01
 86 | 0x92           | 1.24164454e-01
 87 | 0x65           | 1.23301764e-01
 88 | 0x6f           | 1.23217509e-01
 89 | 0xd8           | 1.22939753e-01
 90 | 0x3b           | 1.21188650e-01
 91 | 0x66           | 1.19360508e-01
 92 | 0xde           | 1.19097255e-01
 93 | 0x25           | 1.17745387e-01
 94 | 0x7d           | 1.17556863e-01
 95 | 0x77           | 1.16568594e-01
