Rank | Key Guess (hex) | Score(RSS_over_POI)
---- | --------------- | -------------------
  1 | 0x6f           | 3.10026505e-01
  2 | 0x99           | 2.93826807e-01
  3 | 0xf8           | 2.68759930e-01
  4 | 0x25           | 2.54198109e-01
  5 | 0x85           | 2.53695729e-01
  6 | 0x8a           | 2.32556661e-01
  7 | 0x7a           | 2.31358414e-01
  8 | 0xe8           | 2.27012645e-01
  9 | 0xbe           | 2.23045594e-01
 10 | 0xe1           | 2.14705261e-01
 11 | 0xf4           | 2.04452136e-01
 12 | 0x8c           | 2.04305008e-01
 13 | 0x88           | 2.04063309e-01
 14 | 0x83           | 2.03720994e-01
 15 | 0x5b           | 2.00068759e-01
 16 | 0x34           | 1.98334909e-01
 17 | 0x63           | 1.97787853e-01
 18 | 0x73           | 1.96623645e-01
 19 | 0x5f           | 1.93573671e-01
 20 | 0xf5           | 1.92303102e-01
 21 | 0xab           | 1.83268913e-01
 22 | 0x77           | 1.81079458e-01
 23 | 0x70           | 1.80891370e-01
 24 | 0xb8           | 1.77863786e-01
 25 | 0x95           | 1.76968204e-01
 26 | 0xba           | 1.76506581e-01
 27 | 0xeb           | 1.73861600e-01
 28 | 0x18           | 1.71902243e-01
 29 | 0x36           | 1.69107586e-01
 30 | 0xc0           | 1.63573939e-01
 31 | 0xc5           | 1.63385436e-01
 32 | 0xdc           | 1.61005820e-01
 33 | 0xc9           | 1.60174269e-01
 34 | 0xd7           | 1.59668212e-01
 35 | 0x39           | 1.59012028e-01
 36 | 0xd6           | 1.57075745e-01
 37 | 0xca           | 1.56108039e-01
 38 | 0x5d           | 1.55565733e-01
 39 | 0x79           | 1.55276517e-01
 40 | 0x93           | 1.55029747e-01
 41 | 0xfb           | 1.53807507e-01
 42 | 0x52           | 1.50662561e-01
 43 | 0xa7           | 1.50567123e-01
 44 | 0xdb           | 1.49343569e-01
 45 | 0x27           | 1.49039498e-01
 46 | 0xda           | 1.48485084e-01
 47 | 0xe0           | 1.48252576e-01
 48 | 0x11           | 1.46288699e-01
 49 | 0x0b           | 1.46191934e-01
 50 | 0xa3           | 1.45438498e-01
 51 | 0x64           | 1.45428339e-01
 52 | 0x6b           | 1.45133932e-01
 53 | 0x97           | 1.44646722e-01
 54 | 0xf7           | 1.44520441e-01
 55 | 0x9c           | 1.44281925e-01
 56 | 0x53           | 1.43034019e-01
 57 | 0x3b           | 1.42729270e-01
 58 | 0x43           | 1.42506466e-01
 59 | 0xf2           | 1.41222831e-01
 60 | 0xdf           | 1.41190235e-01
 61 | 0x7f           | 1.39150261e-01
 62 | 0x94           | 1.38857534e-01
 63 | 0x67           | 1.37202519e-01
 64 | 0x8b           | 1.36244371e-01
 65 | 0xd2           | 1.35240068e-01
 66 | 0x0a           | 1.35160349e-01
 67 | 0xbb           | 1.34203923e-01
 68 | 0x0d           | 1.33357913e-01
 69 | 0x69           | 1.33265530e-01
 70 | 0x1e           | 1.32822679e-01
 71 | 0x16           | 1.32247510e-01
 72 | 0x42           | 1.31814386e-01
 73 | 0x1c           | 1.31587438e-01
 74 | 0xa8           | 1.30288806e-01
 75 | 0xe6           | 1.30074415e-01
 76 | 0x24           | 1.29927932e-01
 77 | 0x0e           | 1.28705445e-01
 78 | 0x17           | 1.28500777e-01
 79 | 0x26           | 1.28460380e-01
 80 | 0x71           | 1.25330283e-01
 81 | 0x62           | 1.24480552e-01
 82 | 0x4e           | 1.22563170e-01
 83 | 0x48           | 1.20631701e-01
 84 | 0x2d           | 1.19560274e-01
 85 | 0x4a           | 1.17069504e-01
 86 | 0xa5           | 1.16848540e-01
 87 | 0xd0           | 1.16201704e-01
 88 | 0x51           | 1.16050629e-01
 89 | 0x8e           | 1.14957883e-01
 90 | 0xe3           | 1.14828176e-01
 91 | 0x80           | 1.13913690e-01
 92 | 0xef           | 1.13283174e-01
 93 | 0x57           | 1.11904391e-01
 94 | 0xb0           | 1.11614413e-01
 95 | 0x09           | 1.11451209e-01
 96 | 0x7e           | 1.11201665e-01
 97 | 0xa2           | 1.10070320e-01
 98 | 0xa6           | 1.09757863e-01
 99 | 0x2e           | 1.09607238e-01
100 | 0x01           | 1.09253322e-01
101 | 0x10           | 1.08498622e-01
102 | 0x74           | 1.08293017e-01
103 | 0x78           | 1.08148537e-01
104 | 0x1f           | 1.06874409e-01
105 | 0x49           | 1.05842204e-01
106 | 0x56           | 1.05627118e-01
107 | 0xa0           | 1.05559358e-01
108 | 0x23           | 1.04740246e-01
109 | 0x1b           | 1.04451559e-01
110 | 0x92           | 1.03919374e-01
111 | 0x8f           | 1.03456690e-01
112 | 0x05           | 1.01137235e-01
113 | 0x4b           | 1.00439654e-01
114 | 0xbd           | 9.90644999e-02
115 | 0x72           | 9.90535957e-02
116 | 0xbc           | 9.88217128e-02
117 | 0x38           | 9.81042574e-02
118 | 0x96           | 9.75362206e-02
119 | 0x03           | 9.69880014e-02
120 | 0xc7           | 9.65859825e-02
