Rank | Key Guess (hex) | Score(RSS_over_POI)
---- | --------------- | -------------------
  1 | 0xad           | 2.87960917e-01
  2 | 0x5d           | 2.52915260e-01
  3 | 0x8c           | 2.17617034e-01
  4 | 0x75           | 2.09972317e-01
  5 | 0xc6           | 1.85364967e-01
  6 | 0x27           | 1.80328697e-01
  7 | 0xe4           | 1.80213580e-01
  8 | 0x55           | 1.69463406e-01
  9 | 0xf3           | 1.67976078e-01
 10 | 0xd5           | 1.58490084e-01
 11 | 0x28           | 1.56273232e-01
 12 | 0x2a           | 1.50852053e-01
 13 | 0x9d           | 1.49002975e-01
 14 | 0x54           | 1.47650566e-01
 15 | 0x04           | 1.46180655e-01
 16 | 0xa8           | 1.46073183e-01
 17 | 0xe2           | 1.45830449e-01
 18 | 0xd0           | 1.45600857e-01
 19 | 0x42           | 1.44314947e-01
 20 | 0xe5           | 1.42883583e-01
 21 | 0x6c           | 1.42419091e-01
 22 | 0x72           | 1.38729461e-01
 23 | 0x18           | 1.37765125e-01
 24 | 0x9a           | 1.36029917e-01
 25 | 0xd9           | 1.33810848e-01
 26 | 0x37           | 1.33042766e-01
 27 | 0x62           | 1.31707081e-01
 28 | 0x35           | 1.31644405e-01
 29 | 0xc7           | 1.31103186e-01
 30 | 0xf6           | 1.29870935e-01
 31 | 0x98           | 1.28947288e-01
 32 | 0xde           | 1.27806027e-01
 33 | 0x3e           | 1.26711016e-01
 34 | 0xa9           | 1.26142945e-01
 35 | 0x3b           | 1.25519877e-01
 36 | 0xba           | 1.25254514e-01
 37 | 0x7a           | 1.25215128e-01
 38 | 0x0d           | 1.25071581e-01
 39 | 0xac           | 1.24070539e-01
 40 | 0x13           | 1.23198165e-01
 41 | 0x33           | 1.20914789e-01
 42 | 0xe6           | 1.20031629e-01
 43 | 0x58           | 1.19774222e-01
 44 | 0x8d           | 1.18908756e-01
 45 | 0x4a           | 1.18339958e-01
 46 | 0x1f           | 1.18167363e-01
 47 | 0x00           | 1.18028453e-01
 48 | 0x57           | 1.18022181e-01
 49 | 0x4e           | 1.17447205e-01
 50 | 0xbd           | 1.17180061e-01
 51 | 0xb2           | 1.15466397e-01
 52 | 0x32           | 1.15450743e-01
 53 | 0x85           | 1.15382831e-01
 54 | 0xfd           | 1.14490920e-01
 55 | 0xf7           | 1.13874692e-01
 56 | 0x47           | 1.13847614e-01
 57 | 0x81           | 1.13661994e-01
 58 | 0xc3           | 1.13106111e-01
 59 | 0xb8           | 1.12062038e-01
 60 | 0x5a           | 1.11103471e-01
 61 | 0x52           | 1.10484994e-01
 62 | 0x12           | 1.10212186e-01
 63 | 0xda           | 1.08871056e-01
