Rank | Key Guess (hex) | Score(RSS_over_POI)
---- | --------------- | -------------------
  1 | 0xb0           | 2.65557835e-01
  2 | 0x61           | 2.38489478e-01
  3 | 0x31           | 2.22556779e-01
  4 | 0xec           | 2.00827436e-01
  5 | 0xad           | 1.95412557e-01
  6 | 0xc5           | 1.87447418e-01
  7 | 0x87           | 1.79847856e-01
  8 | 0x1e           | 1.76879727e-01
  9 | 0xf2           | 1.76175918e-01
 10 | 0x68           | 1.72991440e-01
 11 | 0x82           | 1.72688171e-01
 12 | 0xd8           | 1.70416800e-01
 13 | 0x57           | 1.67958718e-01
 14 | 0x99           | 1.66448661e-01
 15 | 0x35           | 1.65614813e-01
 16 | 0x8d           | 1.65091312e-01
 17 | 0xdd           | 1.63480843e-01
 18 | 0x08           | 1.59930489e-01
 19 | 0x3b           | 1.58402880e-01
 20 | 0x94           | 1.56532350e-01
 21 | 0xd4           | 1.49406662e-01
 22 | 0x0c           | 1.46250655e-01
 23 | 0x3a           | 1.45773527e-01
 24 | 0x53           | 1.45287825e-01
 25 | 0xdf           | 1.44586862e-01
 26 | 0xbc           | 1.44217875e-01
 27 | 0x1d           | 1.43195973e-01
 28 | 0x06           | 1.41071312e-01
 29 | 0x16           | 1.39471750e-01
 30 | 0x59           | 1.39047176e-01
 31 | 0x7c           | 1.35069504e-01
 32 | 0xb6           | 1.34402625e-01
 33 | 0x0e           | 1.33985226e-01
 34 | 0xe7           | 1.29492063e-01
 35 | 0xb3           | 1.28834026e-01
 36 | 0xc7           | 1.28348310e-01
 37 | 0x9d           | 1.27967024e-01
 38 | 0x5c           | 1.27451713e-01
 39 | 0x6e           | 1.27400230e-01
 40 | 0x37           | 1.26142308e-01
 41 | 0x1b           | 1.24334360e-01
 42 | 0xab           | 1.22564000e-01
 43 | 0x86           | 1.21118149e-01
 44 | 0xbb           | 1.20946993e-01
 45 | 0x03           | 1.20315835e-01
 46 | 0xb5           | 1.18711259e-01
 47 | 0x81           | 1.16934935e-01
 48 | 0x55           | 1.16218151e-01
 49 | 0x34           | 1.15709988e-01
 50 | 0xe2           | 1.14449101e-01
 51 | 0x30           | 1.14032228e-01
 52 | 0xd5           | 1.13965923e-01
 53 | 0xe6           | 1.13402092e-01
 54 | 0x2b           | 1.12971902e-01
 55 | 0xeb           | 1.12817574e-01
 56 | 0xa9           | 1.12747452e-01
 57 | 0xdc           | 1.12711414e-01
 58 | 0x6b           | 1.10984080e-01
 59 | 0xea           | 1.09476843e-01
 60 | 0xb8           | 1.09395193e-01
 61 | 0x3e           | 1.09347833e-01
 62 | 0x2d           | 1.09193000e-01
 63 | 0x28           | 1.08186297e-01
 64 | 0xbe           | 1.07046844e-01
 65 | 0x89           | 1.07042960e-01
 66 | 0x2e           | 1.06952136e-01
 67 | 0x3c           | 1.06576476e-01
 68 | 0xd1           | 1.04813962e-01
 69 | 0xe3           | 1.04078048e-01
 70 | 0x83           | 1.04068706e-01
 71 | 0xbd           | 1.03863854e-01
 72 | 0xb1           | 1.03666399e-01
 73 | 0xb2           | 1.03286843e-01
 74 | 0x7a           | 1.02871080e-01
 75 | 0x05           | 1.02701442e-01
 76 | 0x7b           | 1.02334551e-01
 77 | 0x63           | 1.01584579e-01
 78 | 0x3d           | 1.00891493e-01
 79 | 0x5d           | 1.00300360e-01
 80 | 0x14           | 1.00107439e-01
 81 | 0x0d           | 9.96359310e-02
 82 | 0x27           | 9.87605094e-02
 83 | 0x49           | 9.81524334e-02
 84 | 0x42           | 9.80306942e-02
 85 | 0x47           | 9.77096480e-02
 86 | 0x8a           | 9.76142171e-02
 87 | 0x38           | 9.72345131e-02
 88 | 0x6a           | 9.50842621e-02
 89 | 0x98           | 9.50691862e-02
 90 | 0xf7           | 9.48163918e-02
 91 | 0x32           | 9.43135064e-02
 92 | 0x10           | 9.42821565e-02
 93 | 0x12           | 9.35720264e-02
 94 | 0xe1           | 9.35204987e-02
 95 | 0xba           | 9.34417781e-02
 96 | 0x0b           | 9.25758027e-02
 97 | 0x4c           | 9.21917670e-02
 98 | 0x72           | 9.09884812e-02
 99 | 0xf1           | 9.04082985e-02
100 | 0x79           | 9.00375404e-02
101 | 0xc0           | 8.94364141e-02
102 | 0xcd           | 8.93896469e-02
103 | 0x77           | 8.92674306e-02
104 | 0xc8           | 8.87602351e-02
105 | 0xc4           | 8.82066242e-02
106 | 0x84           | 8.81521961e-02
107 | 0x33           | 8.73380166e-02
108 | 0x92           | 8.66355366e-02
109 | 0x8b           | 8.65640634e-02
110 | 0xe9           | 8.65003425e-02
111 | 0x70           | 8.59598540e-02
112 | 0x2f           | 8.56877547e-02
113 | 0x52           | 8.54843876e-02
114 | 0x26           | 8.53267493e-02
115 | 0xf9           | 8.48843944e-02
116 | 0x66           | 8.44578349e-02
117 | 0x4f           | 8.38115012e-02
118 | 0x18           | 8.33866491e-02
119 | 0xcc           | 8.33802545e-02
120 | 0x17           | 8.21784941e-02
121 | 0xb9           | 8.15381637e-02
122 | 0x73           | 8.14611985e-02
123 | 0xe0           | 8.13060912e-02
124 | 0xdb           | 8.09689967e-02
125 | 0xa7           | 8.06854420e-02
126 | 0xc1           | 8.00845226e-02
127 | 0xf4           | 8.00393403e-02
128 | 0xee           | 7.95839105e-02
129 | 0x2a           | 7.95724589e-02
130 | 0x07           | 7.90148094e-02
131 | 0x5e           | 7.85448041e-02
132 | 0xd7           | 7.83976653e-02
133 | 0x67           | 7.82159835e-02
134 | 0xd6           | 7.81558779e-02
135 | 0xde           | 7.60757361e-02
136 | 0xa8           | 7.60529774e-02
137 | 0x1c           | 7.53134899e-02
138 | 0x48           | 7.48918828e-02
139 | 0xb7           | 7.47725100e-02
140 | 0x58           | 7.45243312e-02
141 | 0xf3           | 7.40974752e-02
