Rank | Key Guess (Hex) | Correlation
--------------------------------------
  1 |    0xD0       | 0.210494
  2 |    0x63       | 0.070892
  3 |    0x9C       | 0.068986
  4 |    0x3F       | 0.063688
  5 |    0x9D       | 0.062057
  6 |    0x98       | 0.061173
  7 |    0x76       | 0.056519
  8 |    0xDE       | 0.055961
  9 |    0x8C       | 0.053198
 10 |    0x3A       | 0.052973
 11 |    0x55       | 0.052860
 12 |    0x1C       | 0.052766
 13 |    0xE0       | 0.050599
 14 |    0xF3       | 0.049240
 15 |    0xC9       | 0.048892
 16 |    0x61       | 0.048891
 17 |    0xDA       | 0.047585
 18 |    0x65       | 0.047374
 19 |    0x1F       | 0.046528
 20 |    0x6B       | 0.045680
 21 |    0x27       | 0.045467
 22 |    0x67       | 0.045353
 23 |    0x64       | 0.045074
 24 |    0x71       | 0.044940
 25 |    0x8F       | 0.044939
 26 |    0x89       | 0.044698
 27 |    0x15       | 0.044603
 28 |    0x69       | 0.044452
 29 |    0x51       | 0.044355
 30 |    0x7E       | 0.043616
 31 |    0x13       | 0.043577
 32 |    0x23       | 0.043478
 33 |    0x42       | 0.043310
 34 |    0xCF       | 0.042770
 35 |    0x90       | 0.042705
 36 |    0x26       | 0.042261
 37 |    0x62       | 0.042224
 38 |    0x8E       | 0.041917
 39 |    0xBE       | 0.041898
 40 |    0xD3       | 0.041714
 41 |    0x73       | 0.041697
 42 |    0xF0       | 0.041500
 43 |    0xA3       | 0.041332
 44 |    0x7C       | 0.041244
 45 |    0xCC       | 0.040744
 46 |    0x9E       | 0.040322
 47 |    0xE3       | 0.040239
 48 |    0x8D       | 0.040121
 49 |    0x5D       | 0.039940
 50 |    0xDD       | 0.039912
 51 |    0x72       | 0.039870
 52 |    0x6C       | 0.039717
 53 |    0x0F       | 0.039706
 54 |    0x53       | 0.039687
 55 |    0x9A       | 0.039096
 56 |    0x1B       | 0.038831
 57 |    0x35       | 0.038608
 58 |    0xAC       | 0.038544
 59 |    0xEA       | 0.038485
 60 |    0x14       | 0.038254
 61 |    0x88       | 0.038251
 62 |    0x24       | 0.038187
 63 |    0xB8       | 0.038061
 64 |    0x84       | 0.038005
 65 |    0x19       | 0.037985
 66 |    0x82       | 0.037929
 67 |    0xB2       | 0.037752
 68 |    0x9B       | 0.037602
 69 |    0x41       | 0.037432
 70 |    0xE1       | 0.037430
 71 |    0xC0       | 0.037398
 72 |    0x22       | 0.037392
 73 |    0xEB       | 0.037364
 74 |    0x77       | 0.037131
 75 |    0x10       | 0.036536
 76 |    0x9F       | 0.036370
 77 |    0x58       | 0.036228
 78 |    0xEC       | 0.035686
 79 |    0xD8       | 0.035657
 80 |    0xE4       | 0.035607
 81 |    0x40       | 0.035531
 82 |    0x32       | 0.035432
 83 |    0xFC       | 0.035304
 84 |    0xA4       | 0.035294
 85 |    0xE7       | 0.035201
 86 |    0x3C       | 0.034768
 87 |    0x57       | 0.034546
 88 |    0xC6       | 0.034463
 89 |    0x44       | 0.034287
 90 |    0x08       | 0.034280
 91 |    0x20       | 0.034227
 92 |    0x47       | 0.034136
 93 |    0xB1       | 0.034106
 94 |    0xE9       | 0.033936
 95 |    0x80       | 0.033678
 96 |    0xDC       | 0.033413
 97 |    0x66       | 0.033361
 98 |    0x96       | 0.033359
 99 |    0x43       | 0.033317
100 |    0xBA       | 0.033302
101 |    0xB6       | 0.033240
102 |    0xEF       | 0.033116
103 |    0x79       | 0.033115
104 |    0xA9       | 0.033094
105 |    0xBB       | 0.032886
106 |    0x95       | 0.032868
107 |    0xF4       | 0.032799
108 |    0x29       | 0.032773
109 |    0x94       | 0.032671
110 |    0x4F       | 0.032655
111 |    0x75       | 0.032335
112 |    0x6E       | 0.032311
113 |    0x11       | 0.032296
114 |    0x60       | 0.032228
115 |    0xA6       | 0.032216
116 |    0xAE       | 0.032090
117 |    0x4E       | 0.032029
118 |    0x5A       | 0.031948
119 |    0x4B       | 0.031891
120 |    0x0D       | 0.031851
121 |    0x2E       | 0.031795
122 |    0xA1       | 0.031773
123 |    0x37       | 0.031723
124 |    0xB4       | 0.031634
125 |    0x74       | 0.031224
126 |    0xCB       | 0.031223
127 |    0xD7       | 0.031204
128 |    0x6D       | 0.031143
129 |    0xFB       | 0.030886
130 |    0x38       | 0.030877
131 |    0xF8       | 0.030825
132 |    0x01       | 0.030694
133 |    0x1A       | 0.030634
134 |    0x5B       | 0.030612
135 |    0x7D       | 0.030446
136 |    0xCE       | 0.030231
137 |    0x2A       | 0.030035
138 |    0x99       | 0.030023
139 |    0xB3       | 0.030021
