Rank | Key Guess (Hex) | Correlation
--------------------------------------
  1 |    0xC8       | 0.209193
  2 |    0xDC       | 0.059434
  3 |    0x67       | 0.058239
  4 |    0x9D       | 0.055980
  5 |    0x63       | 0.055394
  6 |    0x29       | 0.054920
  7 |    0xAC       | 0.051994
  8 |    0x3D       | 0.051860
  9 |    0xF1       | 0.050153
 10 |    0xA8       | 0.049644
 11 |    0xE3       | 0.049276
 12 |    0x5B       | 0.047360
 13 |    0x88       | 0.046853
 14 |    0xD0       | 0.046529
 15 |    0x9C       | 0.046089
 16 |    0x73       | 0.046032
 17 |    0x37       | 0.045458
 18 |    0x0A       | 0.045377
 19 |    0xC4       | 0.044962
 20 |    0xB1       | 0.044395
 21 |    0x54       | 0.043914
 22 |    0x98       | 0.043671
 23 |    0x6C       | 0.043342
 24 |    0x9F       | 0.042730
 25 |    0x47       | 0.042428
 26 |    0x3B       | 0.042417
 27 |    0x22       | 0.042340
 28 |    0xC7       | 0.042263
 29 |    0x6F       | 0.041475
 30 |    0x86       | 0.041280
 31 |    0x3E       | 0.041179
 32 |    0xBD       | 0.041038
 33 |    0x33       | 0.041001
 34 |    0xDE       | 0.040774
 35 |    0x62       | 0.040700
 36 |    0xE6       | 0.040635
 37 |    0xEB       | 0.040588
 38 |    0x61       | 0.040560
 39 |    0x65       | 0.040247
 40 |    0x57       | 0.039889
 41 |    0x45       | 0.039696
 42 |    0x8C       | 0.039506
 43 |    0x03       | 0.039434
 44 |    0x1D       | 0.039250
 45 |    0x25       | 0.038973
 46 |    0x84       | 0.038967
 47 |    0xCC       | 0.038746
 48 |    0x66       | 0.038690
 49 |    0x51       | 0.038653
 50 |    0x4C       | 0.038291
 51 |    0x7A       | 0.038271
 52 |    0x3C       | 0.038216
 53 |    0x94       | 0.038151
 54 |    0x27       | 0.037863
 55 |    0xD2       | 0.037708
 56 |    0xF3       | 0.037614
 57 |    0x83       | 0.037570
 58 |    0xFF       | 0.036832
 59 |    0x21       | 0.036705
 60 |    0xC0       | 0.036518
 61 |    0xBF       | 0.036348
 62 |    0xD6       | 0.036266
 63 |    0x36       | 0.036198
 64 |    0x14       | 0.036121
 65 |    0x26       | 0.035994
 66 |    0x17       | 0.035978
 67 |    0xB9       | 0.035912
 68 |    0xEA       | 0.035797
 69 |    0x48       | 0.035696
 70 |    0x5F       | 0.035641
 71 |    0xBC       | 0.035577
 72 |    0x9B       | 0.035456
 73 |    0x39       | 0.035155
 74 |    0x93       | 0.035081
 75 |    0xD7       | 0.034956
 76 |    0xF8       | 0.034914
 77 |    0xDF       | 0.034761
 78 |    0x71       | 0.034435
 79 |    0x99       | 0.034353
 80 |    0x91       | 0.034219
 81 |    0x7F       | 0.033991
 82 |    0x6B       | 0.033927
 83 |    0x44       | 0.033695
 84 |    0x0C       | 0.033672
 85 |    0x80       | 0.033472
 86 |    0xEE       | 0.033393
 87 |    0x8B       | 0.033313
 88 |    0xAA       | 0.033269
 89 |    0x50       | 0.033259
 90 |    0xE0       | 0.033227
 91 |    0x52       | 0.033063
 92 |    0x0D       | 0.032509
 93 |    0x95       | 0.032373
 94 |    0x96       | 0.032317
 95 |    0x02       | 0.032255
 96 |    0x3A       | 0.032157
 97 |    0x6D       | 0.032151
 98 |    0x23       | 0.032115
 99 |    0xE1       | 0.032065
100 |    0x41       | 0.032027
101 |    0x59       | 0.031998
102 |    0xBB       | 0.031903
103 |    0xF5       | 0.031859
104 |    0xB8       | 0.031541
105 |    0xC1       | 0.031516
106 |    0xF4       | 0.031324
107 |    0x1C       | 0.031324
108 |    0x18       | 0.031280
109 |    0x24       | 0.031191
110 |    0x15       | 0.031097
111 |    0xBE       | 0.031084
112 |    0x4F       | 0.031045
113 |    0xD5       | 0.031019
114 |    0x0B       | 0.031011
115 |    0xFD       | 0.030966
116 |    0x76       | 0.030835
117 |    0x1E       | 0.030827
118 |    0xA2       | 0.030826
119 |    0xFC       | 0.030783
120 |    0x6A       | 0.030724
121 |    0xB0       | 0.030587
122 |    0xA7       | 0.030518
123 |    0xF7       | 0.030492
124 |    0x58       | 0.030428
125 |    0x01       | 0.029944
