Rank | Key Guess (Hex) | Correlation
--------------------------------------
  1 |    0x0C       | 0.208915
  2 |    0xDD       | 0.068120
  3 |    0x61       | 0.065440
  4 |    0x63       | 0.064179
  5 |    0x99       | 0.061377
  6 |    0x4B       | 0.059772
  7 |    0x16       | 0.058486
  8 |    0x9E       | 0.057051
  9 |    0xAC       | 0.056270
 10 |    0x73       | 0.056065
 11 |    0x67       | 0.056001
 12 |    0x2F       | 0.054990
 13 |    0x8E       | 0.053940
 14 |    0x43       | 0.053903
 15 |    0x8C       | 0.052530
 16 |    0xFD       | 0.052519
 17 |    0xFE       | 0.052457
 18 |    0x23       | 0.052358
 19 |    0x9D       | 0.051561
 20 |    0x9C       | 0.050759
 21 |    0xB8       | 0.050182
 22 |    0xD3       | 0.050170
 23 |    0xDC       | 0.049511
 24 |    0x46       | 0.049110
 25 |    0x25       | 0.048884
 26 |    0x77       | 0.048760
 27 |    0x42       | 0.048531
 28 |    0x9F       | 0.048246
 29 |    0x92       | 0.048240
 30 |    0x71       | 0.047650
 31 |    0x66       | 0.047192
 32 |    0x3C       | 0.046757
 33 |    0x6A       | 0.046538
 34 |    0xA1       | 0.045936
 35 |    0x98       | 0.045198
 36 |    0x36       | 0.044483
 37 |    0xF5       | 0.043729
 38 |    0xAB       | 0.043542
 39 |    0x45       | 0.043408
 40 |    0xD9       | 0.043282
 41 |    0x34       | 0.043031
 42 |    0xB9       | 0.042811
 43 |    0xDA       | 0.042188
 44 |    0xCA       | 0.042175
 45 |    0x88       | 0.042164
 46 |    0xCE       | 0.042010
 47 |    0xB4       | 0.041904
 48 |    0x22       | 0.041578
 49 |    0x72       | 0.041464
 50 |    0x2A       | 0.041239
 51 |    0xF1       | 0.040877
 52 |    0x59       | 0.040747
 53 |    0xF6       | 0.039678
 54 |    0xF9       | 0.039672
 55 |    0x09       | 0.039643
 56 |    0x62       | 0.039459
 57 |    0x53       | 0.039216
 58 |    0x76       | 0.039121
 59 |    0xC4       | 0.039049
 60 |    0x60       | 0.038559
 61 |    0x19       | 0.038245
 62 |    0x64       | 0.038074
 63 |    0xE3       | 0.037532
 64 |    0x29       | 0.037518
 65 |    0x95       | 0.037261
 66 |    0xBD       | 0.037176
 67 |    0xBC       | 0.037126
 68 |    0x27       | 0.036863
 69 |    0xF0       | 0.036705
 70 |    0x56       | 0.036583
 71 |    0x28       | 0.036303
 72 |    0x20       | 0.036256
 73 |    0xE8       | 0.036102
 74 |    0x54       | 0.036077
 75 |    0x4E       | 0.036017
 76 |    0x7E       | 0.036015
 77 |    0x37       | 0.035996
 78 |    0x97       | 0.035984
 79 |    0xC6       | 0.035939
 80 |    0x6B       | 0.035838
 81 |    0xB6       | 0.035749
 82 |    0x1B       | 0.035658
 83 |    0x2C       | 0.035621
 84 |    0x06       | 0.035596
 85 |    0x2E       | 0.035594
 86 |    0xF7       | 0.035158
 87 |    0xA7       | 0.035093
 88 |    0x30       | 0.034814
 89 |    0x14       | 0.034764
 90 |    0x3B       | 0.034752
 91 |    0x89       | 0.034672
 92 |    0xFC       | 0.034646
 93 |    0xFF       | 0.034572
 94 |    0x03       | 0.034473
 95 |    0x1D       | 0.034424
 96 |    0x79       | 0.034231
 97 |    0x2B       | 0.033947
 98 |    0x8D       | 0.033907
 99 |    0xE4       | 0.033806
100 |    0x3D       | 0.033658
101 |    0x11       | 0.033642
102 |    0x9A       | 0.033598
103 |    0x69       | 0.033556
104 |    0x41       | 0.033552
105 |    0xB0       | 0.033479
106 |    0xA9       | 0.033339
107 |    0x81       | 0.033205
108 |    0xDE       | 0.033181
109 |    0xA2       | 0.033145
110 |    0x78       | 0.033107
111 |    0xE6       | 0.033088
112 |    0x44       | 0.032952
113 |    0xDB       | 0.032945
114 |    0x00       | 0.032894
115 |    0xF2       | 0.032807
116 |    0x84       | 0.032779
117 |    0x86       | 0.032713
118 |    0x52       | 0.032524
119 |    0x50       | 0.032227
120 |    0xA4       | 0.031983
121 |    0x33       | 0.031948
122 |    0xCF       | 0.031855
123 |    0xD7       | 0.031848
124 |    0x24       | 0.031716
125 |    0xF8       | 0.031471
126 |    0xDF       | 0.031420
127 |    0xB3       | 0.031389
128 |    0xCD       | 0.031354
129 |    0xBF       | 0.031345
130 |    0x94       | 0.031163
131 |    0xC0       | 0.031148
132 |    0xBA       | 0.031139
133 |    0x4A       | 0.031030
134 |    0x90       | 0.030960
135 |    0x3E       | 0.030945
136 |    0x26       | 0.030812
137 |    0xBB       | 0.030634
138 |    0x02       | 0.030563
139 |    0x6F       | 0.030337
140 |    0xAF       | 0.030203
141 |    0xAE       | 0.030181
142 |    0xC9       | 0.030112
143 |    0xE0       | 0.030103
144 |    0x35       | 0.030056
145 |    0xE7       | 0.029868
146 |    0x5D       | 0.029825
147 |    0xE5       | 0.029688
148 |    0x32       | 0.029578
149 |    0xB7       | 0.029558
150 |    0xD4       | 0.029537
151 |    0x05       | 0.029405
152 |    0xA8       | 0.029387
153 |    0x31       | 0.029362
154 |    0x9B       | 0.029158
155 |    0x38       | 0.029155
156 |    0xA3       | 0.028966
157 |    0x91       | 0.028949
158 |    0xF4       | 0.028946
159 |    0x8A       | 0.028868
160 |    0xFA       | 0.028808
161 |    0xED       | 0.028806
162 |    0xE9       | 0.028761
163 |    0x5E       | 0.028692
164 |    0xC5       | 0.028622
165 |    0x57       | 0.028544
166 |    0xC8       | 0.028363
167 |    0x5B       | 0.028288
168 |    0x58       | 0.028229
169 |    0xEF       | 0.027890
170 |    0x04       | 0.027793
171 |    0xB2       | 0.027734
172 |    0x83       | 0.027595
173 |    0x70       | 0.027505
174 |    0x7B       | 0.027321
175 |    0x7A       | 0.027182
176 |    0xC7       | 0.027136
177 |    0xEA       | 0.027054
178 |    0xBE       | 0.026976
179 |    0x5C       | 0.026969
180 |    0x47       | 0.026966
181 |    0xF3       | 0.026937
182 |    0x48       | 0.026353
183 |    0x12       | 0.026223
184 |    0x3A       | 0.026187
185 |    0x65       | 0.026122
186 |    0x85       | 0.026038
187 |    0x1A       | 0.026020
188 |    0x55       | 0.026010
189 |    0xEC       | 0.025884
190 |    0x08       | 0.025863
191 |    0xD0       | 0.025801
192 |    0xD6       | 0.025748
193 |    0xC2       | 0.025701
194 |    0x1E       | 0.025654
195 |    0x40       | 0.025614
196 |    0x6C       | 0.025319
197 |    0xC1       | 0.025286
198 |    0x7F       | 0.025144
199 |    0x0D       | 0.025057
200 |    0xAA       | 0.025057
201 |    0xEB       | 0.025030
202 |    0xE2       | 0.025019
203 |    0x1F       | 0.025004
204 |    0x87       | 0.024930
205 |    0x39       | 0.024892
206 |    0x0F       | 0.024774
207 |    0x2D       | 0.024573
208 |    0x93       | 0.024352
209 |    0x13       | 0.024214
210 |    0x51       | 0.024203
211 |    0xD1       | 0.024182
212 |    0xB5       | 0.023996
213 |    0xD2       | 0.023938
214 |    0x75       | 0.023856
215 |    0x8B       | 0.023697
216 |    0xC3       | 0.023691
217 |    0x49       | 0.023580
218 |    0x7D       | 0.023426
219 |    0xEE       | 0.022936
220 |    0x3F       | 0.022894
221 |    0x5A       | 0.022869
222 |    0x5F       | 0.022802
223 |    0x0E       | 0.022787
224 |    0x74       | 0.022608
225 |    0xA5       | 0.022585
226 |    0x17       | 0.022202
227 |    0x15       | 0.022105
228 |    0x01       | 0.022006
229 |    0xCB       | 0.022005
230 |    0xAD       | 0.021964
231 |    0x21       | 0.021959
232 |    0x6E       | 0.021896
233 |    0xD8       | 0.021757
234 |    0x1C       | 0.021296
235 |    0xE1       | 0.021260
236 |    0x18       | 0.021247
237 |    0x7C       | 0.020969
238 |    0xCC       | 0.020840
239 |    0x4D       | 0.020682
240 |    0xD5       | 0.020341
241 |    0x0B       | 0.020323
242 |    0xFB       | 0.020001
243 |    0x8F       | 0.019751
244 |    0x80       | 0.019482
245 |    0xA6       | 0.018998
246 |    0x4C       | 0.018550
247 |    0x4F       | 0.018418
248 |    0x0A       | 0.017938
249 |    0x07       | 0.017530
250 |    0x96       | 0.016521
251 |    0x82       | 0.016274
252 |    0xA0       | 0.016260
253 |    0x10       | 0.015652
254 |    0x6D       | 0.015411
255 |    0x68       | 0.013534
256 |    0xB1       | 0.012740
