Rank | Key Guess (Hex) | Correlation
--------------------------------------
  1 |    0xEE       | 0.208827
  2 |    0x67       | 0.062716
  3 |    0x9E       | 0.062654
  4 |    0xDE       | 0.056211
  5 |    0x8C       | 0.055904
  6 |    0x9C       | 0.055265
  7 |    0x6F       | 0.052690
  8 |    0xD0       | 0.052400
  9 |    0x43       | 0.052030
 10 |    0x27       | 0.051200
 11 |    0xF4       | 0.051179
 12 |    0x99       | 0.050336
 13 |    0x2E       | 0.049994
 14 |    0x94       | 0.049872
 15 |    0x22       | 0.048962
 16 |    0xA4       | 0.048791
 17 |    0x63       | 0.048297
 18 |    0x90       | 0.047232
 19 |    0x98       | 0.046504
 20 |    0x36       | 0.046147
 21 |    0x3F       | 0.045700
 22 |    0x40       | 0.045032
 23 |    0x9B       | 0.044928
 24 |    0x02       | 0.044672
 25 |    0x1D       | 0.044580
 26 |    0x1F       | 0.044151
 27 |    0x4C       | 0.043673
 28 |    0x32       | 0.042622
 29 |    0x31       | 0.042546
 30 |    0xF6       | 0.041983
 31 |    0x9A       | 0.041757
 32 |    0x77       | 0.041587
 33 |    0x62       | 0.041493
 34 |    0x10       | 0.041423
 35 |    0xE0       | 0.041417
 36 |    0x18       | 0.041405
 37 |    0x41       | 0.041283
 38 |    0x4B       | 0.041085
 39 |    0xA5       | 0.041073
 40 |    0x12       | 0.040989
 41 |    0x76       | 0.040391
 42 |    0xCD       | 0.040348
 43 |    0x4E       | 0.040272
 44 |    0x7A       | 0.039996
 45 |    0x96       | 0.039949
 46 |    0xB8       | 0.039936
 47 |    0x26       | 0.039920
 48 |    0x4A       | 0.039676
 49 |    0x82       | 0.039580
 50 |    0xA0       | 0.039544
 51 |    0xA1       | 0.039482
 52 |    0x8E       | 0.039336
 53 |    0x61       | 0.039309
 54 |    0xBA       | 0.039234
 55 |    0x05       | 0.039118
 56 |    0xEA       | 0.039068
 57 |    0xB5       | 0.038838
 58 |    0x45       | 0.038746
 59 |    0x34       | 0.038607
 60 |    0x73       | 0.038306
 61 |    0x58       | 0.038222
 62 |    0xB9       | 0.038067
 63 |    0x06       | 0.037887
 64 |    0x95       | 0.037652
 65 |    0xE9       | 0.037482
 66 |    0x7B       | 0.037473
 67 |    0xCE       | 0.037430
 68 |    0x23       | 0.037418
 69 |    0x8A       | 0.037363
 70 |    0x8D       | 0.037129
 71 |    0x15       | 0.037058
 72 |    0xC5       | 0.037049
 73 |    0x25       | 0.036965
 74 |    0xDA       | 0.036885
 75 |    0xBF       | 0.036870
 76 |    0xBC       | 0.036286
 77 |    0x92       | 0.036205
 78 |    0xD7       | 0.036187
 79 |    0x47       | 0.035839
 80 |    0xD8       | 0.035790
 81 |    0xE2       | 0.035628
 82 |    0x97       | 0.035598
 83 |    0x57       | 0.035477
 84 |    0xBD       | 0.035395
 85 |    0x4F       | 0.035394
 86 |    0xC1       | 0.035261
