Rank | Key Guess (Hex) | Correlation
--------------------------------------
  1 |    0xB6       | 0.237433
  2 |    0x9C       | 0.078012
  3 |    0x67       | 0.068556
  4 |    0x1B       | 0.067012
  5 |    0x95       | 0.066391
  6 |    0x9E       | 0.065464
  7 |    0x9D       | 0.065210
  8 |    0x63       | 0.060886
  9 |    0x73       | 0.060355
 10 |    0xDA       | 0.058373
 11 |    0xDC       | 0.058165
 12 |    0x0A       | 0.057072
 13 |    0x21       | 0.056996
 14 |    0xE7       | 0.056129
 15 |    0x62       | 0.055767
 16 |    0x72       | 0.055627
 17 |    0x1D       | 0.055218
 18 |    0xBC       | 0.055106
 19 |    0x4A       | 0.053231
 20 |    0x79       | 0.052327
 21 |    0xD6       | 0.051923
 22 |    0x25       | 0.051156
 23 |    0xF7       | 0.051114
 24 |    0x89       | 0.050778
 25 |    0xE1       | 0.050324
 26 |    0xBA       | 0.050273
 27 |    0xAC       | 0.050154
 28 |    0x03       | 0.049805
 29 |    0x32       | 0.049726
 30 |    0x3E       | 0.049332
 31 |    0x98       | 0.048470
 32 |    0x33       | 0.048163
 33 |    0x8C       | 0.047855
 34 |    0x91       | 0.047323
 35 |    0x45       | 0.047201
 36 |    0x22       | 0.046652
 37 |    0xBD       | 0.046327
 38 |    0x75       | 0.046324
 39 |    0xD1       | 0.045716
 40 |    0x58       | 0.045289
 41 |    0xD9       | 0.045233
 42 |    0x69       | 0.044892
 43 |    0x31       | 0.044811
 44 |    0x99       | 0.044687
 45 |    0xCA       | 0.044038
 46 |    0xB0       | 0.043973
 47 |    0x19       | 0.043872
 48 |    0x65       | 0.043855
 49 |    0x1E       | 0.043498
 50 |    0x35       | 0.043484
 51 |    0x2A       | 0.043401
 52 |    0xFC       | 0.042913
 53 |    0x8D       | 0.042796
 54 |    0x24       | 0.042517
 55 |    0x82       | 0.042317
 56 |    0x42       | 0.042077
 57 |    0x40       | 0.041778
 58 |    0x6C       | 0.041771
 59 |    0x84       | 0.041423
 60 |    0x71       | 0.041088
 61 |    0xFE       | 0.040839
 62 |    0x6A       | 0.040531
 63 |    0x47       | 0.040370
 64 |    0x52       | 0.040246
 65 |    0x77       | 0.040197
 66 |    0x5C       | 0.040142
 67 |    0x7D       | 0.040114
 68 |    0x3A       | 0.039794
 69 |    0xA7       | 0.039780
 70 |    0x3B       | 0.039642
 71 |    0x01       | 0.039489
 72 |    0x88       | 0.039170
 73 |    0xBE       | 0.039165
 74 |    0xC1       | 0.039089
 75 |    0xAB       | 0.039026
 76 |    0x8E       | 0.038849
 77 |    0x87       | 0.038849
 78 |    0x36       | 0.038645
 79 |    0xC8       | 0.038610
 80 |    0x7B       | 0.038537
 81 |    0x16       | 0.038342
 82 |    0xF1       | 0.038216
 83 |    0x27       | 0.038127
 84 |    0xD8       | 0.038011
 85 |    0x43       | 0.037898
 86 |    0x9A       | 0.037777
 87 |    0x8A       | 0.037727
 88 |    0x66       | 0.037615
 89 |    0xDE       | 0.037431
 90 |    0xCC       | 0.037028
 91 |    0xCE       | 0.036936
 92 |    0xA9       | 0.036905
 93 |    0x86       | 0.036870
 94 |    0xD3       | 0.036132
 95 |    0xF8       | 0.036042
 96 |    0x50       | 0.035827
 97 |    0xDD       | 0.035716
 98 |    0x76       | 0.035699
 99 |    0xE6       | 0.035551
100 |    0x00       | 0.035308
101 |    0xD4       | 0.035291
102 |    0xAE       | 0.035210
103 |    0xA6       | 0.035199
104 |    0xEC       | 0.035175
105 |    0x05       | 0.035062
106 |    0xF9       | 0.034915
107 |    0x94       | 0.034726
108 |    0xE0       | 0.034665
109 |    0xBB       | 0.034528
110 |    0x4D       | 0.034526
111 |    0x59       | 0.034480
112 |    0xDF       | 0.034366
113 |    0x60       | 0.034022
114 |    0x6F       | 0.033902
115 |    0xBF       | 0.033885
116 |    0x9F       | 0.033849
117 |    0x7E       | 0.033776
118 |    0x70       | 0.033757
119 |    0x5B       | 0.033752
120 |    0x54       | 0.033721
121 |    0x0E       | 0.033719
122 |    0xA3       | 0.033669
123 |    0x28       | 0.033553
124 |    0xFF       | 0.033384
125 |    0x5E       | 0.033176
126 |    0x2C       | 0.033025
127 |    0xE5       | 0.033023
128 |    0x02       | 0.032933
129 |    0x10       | 0.032921
130 |    0x23       | 0.032850
131 |    0xA0       | 0.032837
132 |    0xA2       | 0.032802
133 |    0x30       | 0.032750
134 |    0x08       | 0.032701
135 |    0xB8       | 0.032633
136 |    0xDB       | 0.032272
137 |    0x1A       | 0.032126
138 |    0xF4       | 0.032119
139 |    0x74       | 0.032062
140 |    0x3D       | 0.031994
141 |    0xB7       | 0.031977
142 |    0x0F       | 0.031948
143 |    0xAA       | 0.031826
144 |    0xF0       | 0.031710
