Rank | Key Guess (Hex) | Correlation
--------------------------------------
  1 |    0xE1       | 0.221850
  2 |    0x62       | 0.076069
  3 |    0x63       | 0.074464
  4 |    0x98       | 0.073207
  5 |    0x9C       | 0.073110
  6 |    0x27       | 0.072810
  7 |    0x73       | 0.070580
  8 |    0x23       | 0.069419
  9 |    0x9D       | 0.067109
 10 |    0x8D       | 0.063286
 11 |    0xCC       | 0.063196
 12 |    0x6C       | 0.061069
 13 |    0x22       | 0.059051
 14 |    0x37       | 0.058691
 15 |    0xE4       | 0.058474
 16 |    0x57       | 0.058054
 17 |    0x9F       | 0.057418
 18 |    0x47       | 0.056356
 19 |    0x6E       | 0.055947
 20 |    0x18       | 0.055940
 21 |    0x66       | 0.054053
 22 |    0x7E       | 0.052757
 23 |    0xF8       | 0.050981
 24 |    0x90       | 0.050647
 25 |    0x25       | 0.050495
 26 |    0x7F       | 0.049984
 27 |    0x77       | 0.049976
 28 |    0x94       | 0.049734
 29 |    0xD5       | 0.049430
 30 |    0x89       | 0.049170
 31 |    0x43       | 0.048799
 32 |    0x3A       | 0.048769
 33 |    0x75       | 0.048701
 34 |    0x99       | 0.048524
 35 |    0xAC       | 0.048246
 36 |    0x84       | 0.048020
 37 |    0x70       | 0.047317
 38 |    0xCB       | 0.047222
 39 |    0xBA       | 0.046878
 40 |    0x1D       | 0.046345
 41 |    0x10       | 0.046153
 42 |    0x50       | 0.046087
 43 |    0x14       | 0.045563
 44 |    0x0B       | 0.045200
 45 |    0xDE       | 0.045088
 46 |    0x44       | 0.044649
 47 |    0x67       | 0.044388
 48 |    0x0E       | 0.044324
 49 |    0x16       | 0.044054
 50 |    0xDD       | 0.043996
 51 |    0x45       | 0.043871
 52 |    0xC1       | 0.043793
 53 |    0xA9       | 0.043791
 54 |    0xF3       | 0.043531
 55 |    0x61       | 0.043512
 56 |    0xC8       | 0.043117
 57 |    0x31       | 0.042985
 58 |    0xAA       | 0.042621
 59 |    0xAB       | 0.042486
 60 |    0x59       | 0.042385
 61 |    0xD9       | 0.042257
 62 |    0x2F       | 0.042249
 63 |    0x55       | 0.042189
 64 |    0x4A       | 0.041950
 65 |    0x3E       | 0.041924
 66 |    0x26       | 0.041771
 67 |    0x40       | 0.041595
 68 |    0xAF       | 0.041506
 69 |    0x32       | 0.041114
 70 |    0x88       | 0.041012
 71 |    0x9B       | 0.040943
 72 |    0xD3       | 0.040384
 73 |    0xBC       | 0.040122
 74 |    0x78       | 0.040118
 75 |    0x7A       | 0.039989
 76 |    0x65       | 0.039825
 77 |    0x52       | 0.039820
 78 |    0xA8       | 0.039482
 79 |    0x64       | 0.039414
 80 |    0xBD       | 0.039065
 81 |    0x03       | 0.038728
 82 |    0x6F       | 0.038629
 83 |    0xCE       | 0.038481
 84 |    0x5E       | 0.038318
 85 |    0x97       | 0.038008
 86 |    0x0C       | 0.037764
 87 |    0xD8       | 0.037744
 88 |    0x8C       | 0.037541
 89 |    0x21       | 0.037252
 90 |    0x4C       | 0.037240
 91 |    0x1E       | 0.037038
 92 |    0x17       | 0.036871
 93 |    0xA0       | 0.036815
 94 |    0xA1       | 0.036583
 95 |    0x80       | 0.036541
 96 |    0x19       | 0.036538
 97 |    0x76       | 0.036405
 98 |    0xC7       | 0.036320
 99 |    0x1C       | 0.036023
100 |    0x93       | 0.035846
101 |    0xDC       | 0.035749
102 |    0xB8       | 0.035555
103 |    0x86       | 0.035519
104 |    0xAE       | 0.035476
105 |    0xFB       | 0.035337
106 |    0x8E       | 0.035277
107 |    0x2B       | 0.035167
108 |    0x9E       | 0.035142
109 |    0xA4       | 0.035103
110 |    0xF9       | 0.035060
111 |    0x74       | 0.035025
112 |    0xDF       | 0.034959
113 |    0x15       | 0.034944
114 |    0x56       | 0.034923
115 |    0xC4       | 0.034911
116 |    0xD4       | 0.034834
117 |    0x6A       | 0.034625
118 |    0x51       | 0.034599
119 |    0x7D       | 0.034591
120 |    0xEE       | 0.034513
121 |    0xE3       | 0.034146
122 |    0x36       | 0.034044
123 |    0xEC       | 0.034038
124 |    0xDA       | 0.034034
125 |    0x7B       | 0.033870
126 |    0x69       | 0.033819
127 |    0x83       | 0.033800
128 |    0x4B       | 0.033695
129 |    0x46       | 0.033594
130 |    0xAD       | 0.033468
131 |    0x9A       | 0.033422
132 |    0xEA       | 0.033346
133 |    0x6B       | 0.033252
134 |    0xC6       | 0.033221
135 |    0x11       | 0.033111
136 |    0xFC       | 0.032964
137 |    0xD2       | 0.032753
138 |    0xE9       | 0.032657
139 |    0x5A       | 0.032629
140 |    0x71       | 0.032301
141 |    0x92       | 0.032141
142 |    0xE2       | 0.032085
143 |    0x85       | 0.032046
144 |    0x5D       | 0.032023
145 |    0xB5       | 0.032012
146 |    0xFD       | 0.031986
147 |    0x4F       | 0.031946
148 |    0x54       | 0.031937
149 |    0xCF       | 0.031896
150 |    0xA6       | 0.031808
151 |    0x53       | 0.031606
152 |    0xB6       | 0.031533
153 |    0xB1       | 0.031384
154 |    0x3B       | 0.031273
155 |    0x60       | 0.031106
156 |    0x1B       | 0.030988
157 |    0xBF       | 0.030526
158 |    0x24       | 0.030521
159 |    0x2A       | 0.030415
160 |    0x7C       | 0.030366
161 |    0xB3       | 0.030273
162 |    0x06       | 0.030174
163 |    0xB7       | 0.030106
164 |    0xE0       | 0.029870
165 |    0xEF       | 0.029470
166 |    0x8B       | 0.029210
167 |    0x13       | 0.029132
168 |    0x48       | 0.028992
169 |    0xD6       | 0.028937
170 |    0xC5       | 0.028883
171 |    0x39       | 0.028868
172 |    0xA7       | 0.028692
173 |    0x0D       | 0.028689
174 |    0x72       | 0.028683
175 |    0xED       | 0.028639
176 |    0x0A       | 0.028504
177 |    0xC3       | 0.028131
178 |    0xBE       | 0.027956
179 |    0x41       | 0.027760
180 |    0x30       | 0.027670
181 |    0xF4       | 0.027568
182 |    0x20       | 0.027509
183 |    0xEB       | 0.027489
184 |    0x33       | 0.027288
185 |    0xB9       | 0.027235
186 |    0x95       | 0.027229
187 |    0xE6       | 0.027204
188 |    0x8A       | 0.027117
189 |    0x82       | 0.026871
190 |    0xFF       | 0.026697
191 |    0x29       | 0.026352
192 |    0x1A       | 0.026336
193 |    0xCA       | 0.026291
194 |    0xC0       | 0.026216
195 |    0x05       | 0.026196
196 |    0xE5       | 0.025875
197 |    0x6D       | 0.025858
198 |    0x2C       | 0.025809
199 |    0xB2       | 0.025805
200 |    0xF2       | 0.025782
201 |    0x8F       | 0.025587
202 |    0xE7       | 0.025488
203 |    0x58       | 0.025444
204 |    0x96       | 0.025424
205 |    0x81       | 0.025357
206 |    0x68       | 0.025336
207 |    0x35       | 0.025095
208 |    0x5F       | 0.025090
209 |    0xFA       | 0.025085
210 |    0x12       | 0.025016
211 |    0xFE       | 0.024771
212 |    0x87       | 0.024631
213 |    0x3C       | 0.024611
214 |    0xF0       | 0.024427
215 |    0x42       | 0.024391
216 |    0x38       | 0.024134
217 |    0xF5       | 0.024110
218 |    0x09       | 0.023944
219 |    0x91       | 0.023870
220 |    0xB0       | 0.023776
221 |    0xD1       | 0.023622
222 |    0x79       | 0.023537
223 |    0xC2       | 0.023506
224 |    0x4D       | 0.023469
225 |    0x28       | 0.023453
226 |    0x3D       | 0.023427
227 |    0x02       | 0.023366
228 |    0x00       | 0.023319
229 |    0x1F       | 0.023318
230 |    0x2E       | 0.023254
231 |    0xBB       | 0.023234
232 |    0xDB       | 0.023117
233 |    0x34       | 0.023103
234 |    0xF7       | 0.022878
235 |    0x07       | 0.022377
236 |    0x5C       | 0.022297
237 |    0xD0       | 0.022219
238 |    0x0F       | 0.022001
239 |    0xCD       | 0.021650
240 |    0x01       | 0.021571
241 |    0xC9       | 0.021462
242 |    0x2D       | 0.021243
243 |    0xD7       | 0.021231
244 |    0xE8       | 0.021160
245 |    0xF1       | 0.021116
246 |    0xA3       | 0.020370
247 |    0x49       | 0.019582
248 |    0x08       | 0.019537
249 |    0x5B       | 0.019457
250 |    0xA5       | 0.018729
251 |    0x4E       | 0.018291
252 |    0x3F       | 0.017590
253 |    0xB4       | 0.017417
254 |    0xA2       | 0.016977
255 |    0xF6       | 0.015510
256 |    0x04       | 0.014404
