Rank | Key Guess (Hex) | Correlation
--------------------------------------
  1 |    0x14       | 0.220829
  2 |    0xCB       | 0.085101
  3 |    0x63       | 0.079019
  4 |    0xBC       | 0.077058
  5 |    0x67       | 0.073768
  6 |    0x9A       | 0.066118
  7 |    0x9D       | 0.062903
  8 |    0x6C       | 0.061381
  9 |    0x6B       | 0.059897
 10 |    0xA8       | 0.057326
 11 |    0x13       | 0.056872
 12 |    0x5B       | 0.055192
 13 |    0x24       | 0.054276
 14 |    0x8C       | 0.053366
 15 |    0xC3       | 0.052958
 16 |    0x23       | 0.052005
 17 |    0xDC       | 0.051870
 18 |    0xD8       | 0.050462
 19 |    0x52       | 0.049485
 20 |    0x4F       | 0.049085
 21 |    0xA3       | 0.049069
 22 |    0x9B       | 0.048643
 23 |    0x6A       | 0.047862
 24 |    0x45       | 0.047356
 25 |    0x37       | 0.046383
 26 |    0xAA       | 0.045045
 27 |    0x1C       | 0.044955
 28 |    0x26       | 0.044947
 29 |    0xB5       | 0.044563
 30 |    0xCC       | 0.044365
 31 |    0x88       | 0.044168
 32 |    0xBA       | 0.043872
 33 |    0x27       | 0.043871
 34 |    0xF8       | 0.043360
 35 |    0x9E       | 0.043204
 36 |    0x41       | 0.043142
 37 |    0x90       | 0.043018
 38 |    0x2B       | 0.042695
 39 |    0x33       | 0.042400
 40 |    0x78       | 0.042073
 41 |    0xA4       | 0.041912
 42 |    0xFB       | 0.041728
 43 |    0xAC       | 0.041599
 44 |    0x17       | 0.041334
 45 |    0xB2       | 0.041330
 46 |    0x1B       | 0.040980
 47 |    0xFC       | 0.040771
 48 |    0x60       | 0.040557
 49 |    0xEF       | 0.040521
 50 |    0x8D       | 0.040162
 51 |    0xE5       | 0.039305
 52 |    0xC1       | 0.039183
 53 |    0xD9       | 0.038644
 54 |    0x96       | 0.038537
 55 |    0x73       | 0.038506
 56 |    0x64       | 0.038434
 57 |    0xFE       | 0.038195
 58 |    0x99       | 0.038029
 59 |    0x48       | 0.037889
 60 |    0xA6       | 0.037849
 61 |    0x04       | 0.037512
 62 |    0x31       | 0.037139
 63 |    0x32       | 0.036793
 64 |    0xB8       | 0.036433
 65 |    0xDA       | 0.036372
 66 |    0x62       | 0.036364
 67 |    0x53       | 0.036222
 68 |    0x01       | 0.036191
 69 |    0x91       | 0.036100
 70 |    0xD6       | 0.035953
 71 |    0x68       | 0.035921
 72 |    0x6D       | 0.035304
 73 |    0xEE       | 0.035027
 74 |    0xC5       | 0.035015
 75 |    0x22       | 0.034967
 76 |    0x49       | 0.034818
 77 |    0x19       | 0.034531
 78 |    0xAE       | 0.034498
 79 |    0x39       | 0.034360
 80 |    0x84       | 0.034249
 81 |    0xF7       | 0.034212
 82 |    0xEC       | 0.034117
 83 |    0xE1       | 0.034079
 84 |    0x2E       | 0.033979
 85 |    0x98       | 0.033953
 86 |    0xF9       | 0.033893
 87 |    0xE8       | 0.033847
 88 |    0x36       | 0.033554
 89 |    0xC0       | 0.033499
 90 |    0x3C       | 0.033454
 91 |    0xBB       | 0.033398
 92 |    0x7A       | 0.033396
 93 |    0x21       | 0.033183
 94 |    0xC7       | 0.033135
 95 |    0x0F       | 0.033124
 96 |    0x18       | 0.033118
 97 |    0x25       | 0.033074
 98 |    0xA5       | 0.033061
 99 |    0x9C       | 0.033039
100 |    0x3B       | 0.033038
101 |    0x92       | 0.033020
102 |    0x8E       | 0.032858
103 |    0x71       | 0.032623
104 |    0xA9       | 0.032544
105 |    0x4A       | 0.032142
106 |    0x9F       | 0.032116
107 |    0x07       | 0.032027
108 |    0xA2       | 0.032024
109 |    0xC2       | 0.031986
110 |    0x82       | 0.031972
111 |    0x3A       | 0.031721
112 |    0x0C       | 0.031700
113 |    0x46       | 0.031595
114 |    0x2C       | 0.031506
115 |    0x1A       | 0.031355
116 |    0x5F       | 0.031312
117 |    0xF0       | 0.031282
118 |    0x7B       | 0.031151
119 |    0xA0       | 0.031079
120 |    0x0E       | 0.031076
121 |    0x8B       | 0.030938
122 |    0xF3       | 0.030885
123 |    0xC9       | 0.030815
124 |    0x76       | 0.030566
125 |    0xC8       | 0.030355
126 |    0xF6       | 0.030076
127 |    0x42       | 0.030009
128 |    0xE3       | 0.029998
129 |    0xAD       | 0.029911
130 |    0x74       | 0.029756
131 |    0x75       | 0.029728
132 |    0x44       | 0.029611
133 |    0xB4       | 0.029437
134 |    0x6F       | 0.029413
135 |    0xFF       | 0.029394
136 |    0x00       | 0.029391
137 |    0xCD       | 0.029379
138 |    0x30       | 0.029341
139 |    0x57       | 0.029155
140 |    0x15       | 0.029137
141 |    0xEA       | 0.029092
142 |    0x89       | 0.028793
143 |    0x1F       | 0.028761
144 |    0xF4       | 0.028721
145 |    0xCE       | 0.028705
146 |    0xD7       | 0.028596
147 |    0x94       | 0.028519
148 |    0x38       | 0.028454
149 |    0x1E       | 0.028444
150 |    0x87       | 0.028343
151 |    0x6E       | 0.028317
152 |    0x1D       | 0.028254
153 |    0x59       | 0.028204
154 |    0x85       | 0.028121
155 |    0xE0       | 0.028058
156 |    0xB1       | 0.028039
157 |    0x5C       | 0.028016
158 |    0x4D       | 0.027935
159 |    0x61       | 0.027767
160 |    0x43       | 0.027722
161 |    0xAB       | 0.027720
162 |    0xD1       | 0.027694
