Rank | Key Guess (Hex) | Correlation
--------------------------------------
  1 |    0x3F       | 0.245739
  2 |    0x73       | 0.068206
  3 |    0xDC       | 0.065112
  4 |    0x43       | 0.063328
  5 |    0xB2       | 0.062306
  6 |    0x60       | 0.060527
  7 |    0x83       | 0.055833
  8 |    0x67       | 0.055621
  9 |    0x84       | 0.054796
 10 |    0xD9       | 0.054655
 11 |    0x22       | 0.053667
 12 |    0xE6       | 0.053447
 13 |    0x33       | 0.052974
 14 |    0x50       | 0.052630
 15 |    0xF8       | 0.052179
 16 |    0x49       | 0.050528
 17 |    0x8C       | 0.049857
 18 |    0x98       | 0.049706
 19 |    0xBD       | 0.049617
 20 |    0xBC       | 0.049229
 21 |    0x9D       | 0.047366
 22 |    0x9C       | 0.047196
 23 |    0x1C       | 0.046923
 24 |    0x04       | 0.046752
 25 |    0x9A       | 0.046441
 26 |    0xC3       | 0.046389
 27 |    0xAD       | 0.046236
 28 |    0x65       | 0.045763
 29 |    0x1E       | 0.045700
 30 |    0x8A       | 0.045700
 31 |    0x62       | 0.045222
 32 |    0x89       | 0.045179
 33 |    0xFA       | 0.045144
 34 |    0xF3       | 0.044563
 35 |    0xAC       | 0.043835
 36 |    0x42       | 0.043524
 37 |    0x00       | 0.043283
 38 |    0x56       | 0.042961
 39 |    0x41       | 0.042557
 40 |    0x99       | 0.042393
 41 |    0x6E       | 0.042285
 42 |    0x2D       | 0.041997
 43 |    0x40       | 0.041806
 44 |    0xCE       | 0.041618
 45 |    0x9E       | 0.041444
 46 |    0x64       | 0.041349
 47 |    0x0B       | 0.041285
 48 |    0x09       | 0.040814
 49 |    0xE5       | 0.040807
 50 |    0x5F       | 0.040758
 51 |    0xB8       | 0.040676
 52 |    0xE0       | 0.040486
 53 |    0x14       | 0.039974
 54 |    0x7B       | 0.039805
 55 |    0x88       | 0.039784
 56 |    0x6F       | 0.039756
 57 |    0x58       | 0.039738
 58 |    0x19       | 0.039652
 59 |    0x1D       | 0.039649
 60 |    0xA2       | 0.039370
 61 |    0xE3       | 0.039157
 62 |    0x75       | 0.039070
 63 |    0x23       | 0.039064
 64 |    0xB7       | 0.038934
 65 |    0xD0       | 0.038518
 66 |    0xFC       | 0.038285
 67 |    0xF1       | 0.038083
 68 |    0x52       | 0.038031
 69 |    0x68       | 0.038005
 70 |    0xD6       | 0.037686
 71 |    0x53       | 0.037551
 72 |    0x71       | 0.037541
 73 |    0x18       | 0.037511
 74 |    0x95       | 0.037062
 75 |    0x2F       | 0.036917
 76 |    0xD2       | 0.036780
 77 |    0xEB       | 0.036682
 78 |    0xBA       | 0.036674
 79 |    0xEF       | 0.036500
