926607c1deef895a0cd92205a82ac551,67,56,69,61,56,60,60,62,54,67,58,57
d89b72e63b068b06b247c5baa55622a9,63,62,58,70,59,66,68,78,63,56,66,62
edb58c4bc777e1de67d7c4d40ba17235,63,60,70,58,66,57,61,62,58,59,66,71
63672e417788f520c48e835d5ca90b05,58,69,73,73,61,59,55,64,63,66,66,58
01e5d1b6a77dbad8798ffaec8e680788,64,65,60,69,57,66,65,66,63,57,69,68
aa0956cd8f662ffd0b1da83a02e1dfcb,61,66,51,69,62,43,60,66,58,59,66,67
7be7cf905feb499f9ca2c3e0f2d8473c,55,76,76,64,68,58,59,63,59,66,75,72
4ca529b9835e074a86c337818a510415,61,70,70,71,54,71,61,70,62,51,62,53
f6338dc022312f861f35442fc3f1e9f7,68,69,61,69,59,55,65,61,60,63,70,66
8be28bb4bac0c15938e46bf78c825a66,66,65,63,59,69,63,65,64,70,70,65,62
766a9fbb92b6b6ba3e1de3b9136ea74f,68,63,60,69,61,59,62,57,77,64,64,76
5d7d1d40fc3c3e2967164f0665946633,65,52,63,70,60,68,71,64,57,75,65,64
62f85ca041efa34e7780b10ba24b1b88,59,64,50,66,66,70,65,55,63,64,70,58
0a7737579a77566c7466f482d0db1eaf,72,63,64,60,67,65,59,68,56,62,62,70
7c2d9bee263db84c54e86034cfe8218e,66,67,57,58,59,70,57,63,66,71,70,63
bf70a3ccfd0afb605929aca44ab5b7b1,73,68,48,67,68,67,64,67,77,74,66,68
d772d40183ea8dffa33448ea63877223,65,56,65,64,61,66,71,65,60,67,71,64
934e66c0ddcebba51b57fec14f392a16,64,63,60,74,70,61,73,70,62,61,62,69
be0d4a14a29646acf194de6eb9f236b4,68,71,62,73,65,66,58,74,54,63,60,65
c4b4c66d899e02ce24207a9c53c7f7e7,68,61,72,58,59,75,65,66,65,53,65,64
b8bac7dc0508d1903e19381e4445acb0,65,64,62,56,54,62,75,66,59,68,71,55
d1d142081a798763434c40e1a8fe36c6,74,71,54,62,64,76,65,71,60,65,63,56
f799264743a302b3cdfe0c216a53f0e8,68,67,68,74,60,50,61,64,58,65,68,63
f2c6a7432080bee70126ecc44e16f8a8,67,58,61,62,56,64,61,63,59,62,66,58
7a66fbefbc5c259cb0f20a0bceef94f8,60,83,71,60,53,65,64,66,70,63,61,72
cec74fb081994437ef449c432857bb39,63,66,59,57,76,67,65,62,51,50,62,64
41cb2a738c7ab58038a5f00f367b7fda,55,62,61,61,75,56,70,57,58,70,65,66
f060b0623aa856c70377f0e9f411bcab,61,60,73,59,58,60,64,62,66,58,71,62
5995565ca825461d058c56a096d07117,63,58,63,57,67,64,49,59,67,67,64,55
bdc9927f1a1562e368f21161fc591373,74,57,67,62,70,67,60,63,58,66,63,65
aee2336d1b42c8db734cde06a9f51698,65,60,62,61,67,57,63,63,56,75,66,65
70aaf3003013c12d6f33a01bc5705170,57,60,62,65,67,74,69,57,62,61,62,54
