Rank | Key Guess (hex) | Score(RSS_over_POI)
---- | --------------- | -------------------
  1 | 0x1d           | 2.74498750e-01
  2 | 0x59           | 2.25728367e-01
  3 | 0xd3           | 2.10658965e-01
  4 | 0xc2           | 2.01810025e-01
  5 | 0x43           | 2.01454972e-01
  6 | 0xbb           | 1.92339605e-01
  7 | 0xc8           | 1.80622884e-01
  8 | 0x55           | 1.79830282e-01
  9 | 0x57           | 1.74158209e-01
 10 | 0xda           | 1.71338439e-01
 11 | 0xa9           | 1.70477840e-01
 12 | 0x81           | 1.66846221e-01
 13 | 0x5d           | 1.65273172e-01
 14 | 0xec           | 1.47340897e-01
 15 | 0xe9           | 1.47167567e-01
 16 | 0xdb           | 1.44407380e-01
 17 | 0x65           | 1.44381430e-01
 18 | 0x5b           | 1.42677621e-01
 19 | 0x7c           | 1.42376983e-01
 20 | 0xeb           | 1.40060288e-01
 21 | 0x91           | 1.39795090e-01
 22 | 0x09           | 1.38893343e-01
 23 | 0xee           | 1.38536632e-01
 24 | 0x40           | 1.37661443e-01
 25 | 0xcc           | 1.34024113e-01
 26 | 0x00           | 1.32357509e-01
 27 | 0x53           | 1.31888110e-01
 28 | 0x3b           | 1.30972009e-01
 29 | 0xea           | 1.30482609e-01
 30 | 0x10           | 1.30356596e-01
 31 | 0x31           | 1.29049469e-01
 32 | 0x3a           | 1.27912328e-01
 33 | 0xfe           | 1.27228585e-01
 34 | 0xce           | 1.23912985e-01
 35 | 0x82           | 1.23717878e-01
 36 | 0x0e           | 1.23023232e-01
 37 | 0xfa           | 1.22396416e-01
 38 | 0xa7           | 1.22360735e-01
 39 | 0x88           | 1.21336038e-01
 40 | 0xc9           | 1.21023650e-01
 41 | 0x9e           | 1.20614512e-01
 42 | 0x68           | 1.20487744e-01
 43 | 0x08           | 1.20382959e-01
 44 | 0x50           | 1.19355727e-01
 45 | 0x70           | 1.18828569e-01
 46 | 0x2b           | 1.18648150e-01
 47 | 0xe4           | 1.16367026e-01
 48 | 0xbf           | 1.15854925e-01
 49 | 0x8b           | 1.15685992e-01
 50 | 0x6a           | 1.14909739e-01
 51 | 0xca           | 1.14711979e-01
 52 | 0x5a           | 1.14114828e-01
 53 | 0xf6           | 1.13367832e-01
 54 | 0x3f           | 1.13257025e-01
 55 | 0x9d           | 1.12408812e-01
 56 | 0x6d           | 1.11512983e-01
 57 | 0xbd           | 1.10824908e-01
 58 | 0x63           | 1.09463782e-01
 59 | 0x19           | 1.08021967e-01
 60 | 0xf4           | 1.07467315e-01
 61 | 0x22           | 1.07088262e-01
 62 | 0x1c           | 1.05596717e-01
 63 | 0xc7           | 1.03830938e-01
 64 | 0x44           | 1.03823257e-01
 65 | 0x9a           | 1.03270650e-01
 66 | 0x52           | 1.02470078e-01
 67 | 0x18           | 1.02225552e-01
 68 | 0x74           | 1.01779262e-01
 69 | 0x83           | 1.01444262e-01
 70 | 0x2d           | 1.00795932e-01
 71 | 0x8e           | 9.99694530e-02
 72 | 0x87           | 9.98191471e-02
 73 | 0xd2           | 9.96830076e-02
 74 | 0xc5           | 9.96552123e-02
 75 | 0xcf           | 9.90017750e-02
 76 | 0x8a           | 9.83618604e-02
 77 | 0x2a           | 9.81088221e-02
 78 | 0xf7           | 9.80448481e-02
 79 | 0xd7           | 9.80161695e-02
 80 | 0x0a           | 9.78132687e-02
 81 | 0x90           | 9.77334820e-02
 82 | 0xf1           | 9.74868186e-02
 83 | 0x32           | 9.72610315e-02
 84 | 0x99           | 9.62586864e-02
 85 | 0x49           | 9.49118090e-02
 86 | 0xed           | 9.41936022e-02
 87 | 0x0b           | 9.41528389e-02
 88 | 0x5c           | 9.22207479e-02
 89 | 0x36           | 9.21003950e-02
 90 | 0xe6           | 9.16059502e-02
 91 | 0x12           | 8.95343373e-02
 92 | 0xb7           | 8.93669000e-02
 93 | 0x7b           | 8.92585538e-02
 94 | 0x5f           | 8.83470141e-02
 95 | 0x35           | 8.77686843e-02
 96 | 0xa6           | 8.75835838e-02
