Rank | Key Guess (hex) | Score(RSS_over_POI)
---- | --------------- | -------------------
  1 | 0x0c           | 2.70882386e-01
  2 | 0x8d           | 1.95652633e-01
  3 | 0xab           | 1.87359777e-01
  4 | 0x1d           | 1.86194762e-01
  5 | 0x99           | 1.76915953e-01
  6 | 0xf9           | 1.76258402e-01
  7 | 0x0f           | 1.70598715e-01
  8 | 0x56           | 1.69521649e-01
  9 | 0x71           | 1.69441773e-01
 10 | 0xf0           | 1.65737781e-01
 11 | 0xbe           | 1.59530472e-01
 12 | 0x82           | 1.54282470e-01
 13 | 0xdf           | 1.53944864e-01
 14 | 0x30           | 1.52727158e-01
 15 | 0x17           | 1.52633802e-01
 16 | 0x46           | 1.50152473e-01
 17 | 0x35           | 1.49317887e-01
 18 | 0xc8           | 1.45378094e-01
 19 | 0xa9           | 1.44313622e-01
 20 | 0x83           | 1.44087815e-01
 21 | 0x58           | 1.39183902e-01
 22 | 0x94           | 1.37592701e-01
 23 | 0x4c           | 1.37322118e-01
 24 | 0x63           | 1.33401282e-01
 25 | 0x3a           | 1.32793428e-01
 26 | 0x53           | 1.32374079e-01
 27 | 0x74           | 1.31440384e-01
 28 | 0x70           | 1.29549476e-01
 29 | 0x3e           | 1.28164957e-01
 30 | 0xed           | 1.27627335e-01
 31 | 0xcb           | 1.27117375e-01
 32 | 0xfd           | 1.26192239e-01
 33 | 0xb4           | 1.25914128e-01
 34 | 0x00           | 1.25609545e-01
 35 | 0xaa           | 1.24100348e-01
 36 | 0xbb           | 1.23865733e-01
 37 | 0x8b           | 1.23614417e-01
 38 | 0xf5           | 1.23506661e-01
 39 | 0xf1           | 1.21169770e-01
 40 | 0x28           | 1.20818348e-01
 41 | 0x7c           | 1.20364974e-01
 42 | 0x48           | 1.20155892e-01
 43 | 0x44           | 1.19912818e-01
 44 | 0xcc           | 1.19605381e-01
 45 | 0x5e           | 1.19582226e-01
 46 | 0x4f           | 1.18601860e-01
 47 | 0xfe           | 1.18020936e-01
 48 | 0x45           | 1.16594755e-01
 49 | 0x95           | 1.15133715e-01
 50 | 0xe8           | 1.14865779e-01
 51 | 0xb8           | 1.14489557e-01
 52 | 0x9f           | 1.13882396e-01
 53 | 0xb2           | 1.12767733e-01
 54 | 0xde           | 1.12496288e-01
 55 | 0x26           | 1.11666120e-01
 56 | 0x77           | 1.10886054e-01
 57 | 0x5d           | 1.10472419e-01
 58 | 0x03           | 1.10065357e-01
 59 | 0xc1           | 1.09943981e-01
 60 | 0x2f           | 1.09580123e-01
 61 | 0x1c           | 1.06256076e-01
 62 | 0x37           | 1.06106234e-01
 63 | 0x39           | 1.05230051e-01
 64 | 0xff           | 1.05151921e-01
 65 | 0x3c           | 1.04699235e-01
 66 | 0xe2           | 1.03919828e-01
 67 | 0xbc           | 1.03751235e-01
 68 | 0x80           | 1.03391619e-01
 69 | 0x6f           | 1.03169382e-01
 70 | 0xca           | 1.02826772e-01
 71 | 0x12           | 1.01724821e-01
 72 | 0x84           | 1.01214471e-01
 73 | 0xda           | 1.00600517e-01
 74 | 0xe1           | 1.00052746e-01
 75 | 0x4d           | 9.95590418e-02
 76 | 0x16           | 9.89833144e-02
 77 | 0x67           | 9.85878272e-02
 78 | 0x47           | 9.81267369e-02
 79 | 0x5b           | 9.80143012e-02
 80 | 0xf7           | 9.70633153e-02
 81 | 0x87           | 9.52743622e-02
 82 | 0x2e           | 9.52210063e-02
 83 | 0xa7           | 9.46305233e-02
 84 | 0x3b           | 9.46232945e-02
 85 | 0xfc           | 9.38463350e-02
 86 | 0x7d           | 9.37494823e-02
 87 | 0xf8           | 9.36415032e-02
 88 | 0x38           | 9.35942539e-02
 89 | 0x34           | 9.35113172e-02
