Rank | Key Guess (hex) | Score(RSS_over_POI)
---- | --------------- | -------------------
  1 | 0x14           | 2.60526646e-01
  2 | 0x69           | 2.27578104e-01
  3 | 0x2a           | 2.21049127e-01
  4 | 0xc5           | 1.98935686e-01
  5 | 0x1a           | 1.82150999e-01
  6 | 0x23           | 1.79895993e-01
  7 | 0xb8           | 1.73391822e-01
  8 | 0xfe           | 1.68655079e-01
  9 | 0xe0           | 1.62749386e-01
 10 | 0x8b           | 1.60095506e-01
 11 | 0x58           | 1.55898335e-01
 12 | 0x91           | 1.54154321e-01
 13 | 0xf0           | 1.53728205e-01
 14 | 0xc7           | 1.52828709e-01
 15 | 0xa8           | 1.51386599e-01
 16 | 0x85           | 1.50196743e-01
 17 | 0xe4           | 1.49842658e-01
 18 | 0x9c           | 1.49174771e-01
 19 | 0xcf           | 1.48044999e-01
 20 | 0xcb           | 1.46308637e-01
 21 | 0xba           | 1.46293575e-01
 22 | 0x7b           | 1.45764339e-01
 23 | 0xb3           | 1.45675875e-01
 24 | 0x9f           | 1.45564416e-01
 25 | 0x60           | 1.42412026e-01
 26 | 0x76           | 1.42119996e-01
 27 | 0xed           | 1.37545695e-01
 28 | 0xf2           | 1.37263451e-01
 29 | 0x38           | 1.36120923e-01
 30 | 0x01           | 1.34010693e-01
 31 | 0x1f           | 1.32208306e-01
 32 | 0xd8           | 1.31667677e-01
 33 | 0x82           | 1.27731610e-01
 34 | 0x8f           | 1.25629462e-01
 35 | 0xd1           | 1.24085486e-01
 36 | 0xa3           | 1.23923591e-01
 37 | 0x06           | 1.23631415e-01
 38 | 0x81           | 1.23329045e-01
 39 | 0x66           | 1.22559692e-01
 40 | 0xf6           | 1.21752887e-01
 41 | 0xdc           | 1.21460321e-01
 42 | 0xae           | 1.19911858e-01
 43 | 0x4f           | 1.17882944e-01
 44 | 0x6b           | 1.16874437e-01
 45 | 0xe9           | 1.16621628e-01
 46 | 0xab           | 1.16157081e-01
 47 | 0xa4           | 1.15455472e-01
 48 | 0xbc           | 1.14676309e-01
 49 | 0x34           | 1.13781148e-01
 50 | 0xa5           | 1.13508427e-01
 51 | 0x18           | 1.13133242e-01
 52 | 0x95           | 1.11903692e-01
 53 | 0xa1           | 1.10504023e-01
 54 | 0xda           | 1.09757035e-01
 55 | 0x6f           | 1.07270736e-01
 56 | 0x1e           | 1.06129973e-01
 57 | 0x33           | 1.05961833e-01
 58 | 0x29           | 1.05610851e-01
 59 | 0x88           | 1.04790347e-01
 60 | 0x99           | 1.04406137e-01
 61 | 0x40           | 1.04330416e-01
 62 | 0x07           | 1.03559778e-01
 63 | 0xac           | 1.03381674e-01
 64 | 0x72           | 1.03208672e-01
 65 | 0x9e           | 1.03059708e-01
 66 | 0x5f           | 1.02838334e-01
 67 | 0x25           | 1.01618899e-01
 68 | 0x0b           | 1.01095875e-01
 69 | 0x7e           | 1.00675541e-01
 70 | 0x4d           | 1.00437123e-01
 71 | 0xbf           | 9.97089304e-02
 72 | 0xea           | 9.94891616e-02
 73 | 0xa2           | 9.90827259e-02
 74 | 0xca           | 9.90148950e-02
 75 | 0x83           | 9.89477661e-02
 76 | 0x2e           | 9.87644783e-02
 77 | 0x0c           | 9.81933117e-02
 78 | 0x41           | 9.64542079e-02
 79 | 0x46           | 9.52803932e-02
 80 | 0x52           | 9.47224013e-02
 81 | 0xbe           | 9.44484118e-02
 82 | 0x7d           | 9.35204536e-02
