Rank | Key Guess (hex) | Score(RSS_over_POI)
---- | --------------- | -------------------
  1 | 0xa5           | 4.00864631e-01
  2 | 0x7e           | 3.44397149e-01
  3 | 0x56           | 3.35803190e-01
  4 | 0x55           | 3.10582448e-01
  5 | 0xed           | 2.96224196e-01
  6 | 0x87           | 2.55489663e-01
  7 | 0x4d           | 2.49166126e-01
  8 | 0xd6           | 2.39293792e-01
  9 | 0x6a           | 2.23654667e-01
 10 | 0xae           | 2.22367804e-01
 11 | 0xef           | 2.12922367e-01
 12 | 0x03           | 2.10837933e-01
 13 | 0x96           | 2.10511774e-01
 14 | 0x32           | 2.08792081e-01
 15 | 0x0e           | 2.05757580e-01
 16 | 0x9e           | 2.01353697e-01
 17 | 0x5c           | 2.01137713e-01
 18 | 0xad           | 1.99768117e-01
 19 | 0xba           | 1.99585874e-01
 20 | 0x8d           | 1.95887879e-01
 21 | 0x64           | 1.95323771e-01
 22 | 0x82           | 1.93866204e-01
 23 | 0x4f           | 1.90485837e-01
 24 | 0xaf           | 1.89948905e-01
 25 | 0x26           | 1.89796708e-01
 26 | 0x94           | 1.87982080e-01
 27 | 0x3f           | 1.87135622e-01
 28 | 0xd7           | 1.83598213e-01
 29 | 0x9d           | 1.83018872e-01
 30 | 0xce           | 1.82508683e-01
 31 | 0x46           | 1.80950684e-01
 32 | 0xbd           | 1.79146392e-01
 33 | 0xc6           | 1.79102230e-01
 34 | 0x0a           | 1.71637046e-01
 35 | 0xee           | 1.71386684e-01
 36 | 0x97           | 1.70989544e-01
 37 | 0x74           | 1.65729677e-01
 38 | 0x16           | 1.61915517e-01
 39 | 0x02           | 1.61782978e-01
 40 | 0x9a           | 1.61436756e-01
 41 | 0x6e           | 1.58026765e-01
 42 | 0xa1           | 1.56134422e-01
 43 | 0x57           | 1.55904982e-01
 44 | 0x75           | 1.53758591e-01
 45 | 0x09           | 1.51855583e-01
 46 | 0xcd           | 1.51201551e-01
 47 | 0x7a           | 1.50492542e-01
 48 | 0xa4           | 1.49237112e-01
 49 | 0x21           | 1.48920981e-01
 50 | 0x05           | 1.46988758e-01
 51 | 0xdd           | 1.44308191e-01
 52 | 0x33           | 1.43788599e-01
 53 | 0xa9           | 1.43394033e-01
 54 | 0x76           | 1.43347075e-01
 55 | 0x77           | 1.42761534e-01
 56 | 0xe2           | 1.42179174e-01
 57 | 0x7f           | 1.40951989e-01
 58 | 0xac           | 1.37426557e-01
 59 | 0xe3           | 1.36892326e-01
 60 | 0x01           | 1.36567384e-01
 61 | 0xe4           | 1.36243367e-01
 62 | 0xe0           | 1.34912632e-01
 63 | 0x68           | 1.34148693e-01
 64 | 0x13           | 1.33147840e-01
 65 | 0x39           | 1.32417436e-01
 66 | 0x8e           | 1.31436564e-01
 67 | 0x7c           | 1.31218998e-01
 68 | 0x12           | 1.30965266e-01
 69 | 0x1c           | 1.30413793e-01
 70 | 0xa6           | 1.29980485e-01
 71 | 0x49           | 1.28380915e-01
 72 | 0xe5           | 1.27400969e-01
 73 | 0x5f           | 1.27002278e-01
 74 | 0x34           | 1.26453042e-01
